Year_Make_Model,Vehicle Type,Base MSRP,Electric Range
2024 RIVIAN EDV,BEV,0.0,0.0
2024 RIVIAN R1S,BEV,0.0,0.0
2024 RIVIAN R1T,BEV,0.0,0.0
2024 RIVIAN RCV,BEV,0.0,0.0
2024 ROLLS-ROYCE SPECTRE,BEV,0.0,0.0
2024 SUBARU SOLTERRA,BEV,0.0,0.0
2024 TESLA CYBERTRUCK,BEV,0.0,0.0
2024 TESLA MODEL 3,BEV,0.0,0.0
2024 TESLA MODEL S,BEV,0.0,0.0
2024 TESLA MODEL X,BEV,0.0,0.0
2024 TESLA MODEL Y,BEV,0.0,0.0
2024 TOYOTA BZ4X,BEV,0.0,0.0
2024 TOYOTA PRIUS PRIME (PHEV),PHEV,0.0,39.0
2024 TOYOTA RAV4 PRIME (PHEV),PHEV,0.0,42.0
2024 VINFAST VF 8,BEV,0.0,0.0
2024 VOLKSWAGEN ID.4,BEV,0.0,0.0
2024 VOLVO C40,BEV,0.0,0.0
2024 VOLVO S60,PHEV,0.0,41.0
2024 VOLVO S90,PHEV,0.0,38.0
2024 VOLVO V60,PHEV,0.0,41.0
2024 VOLVO XC40,BEV,0.0,0.0
2024 VOLVO XC60,PHEV,0.0,35.0
2024 VOLVO XC90,PHEV,0.0,32.0
2025 ALFA ROMEO TONALE,PHEV,0.0,33.0
2025 AUDI Q4,BEV,0.0,0.0
2025 AUDI Q5 E,PHEV,0.0,28.0
2025 AUDI Q6,BEV,0.0,0.0
2025 AUDI RS E-TRON GT,BEV,0.0,0.0
2025 AUDI S E-TRON GT,BEV,0.0,0.0
2025 AUDI S6,BEV,0.0,0.0
2025 AUDI SQ6,BEV,0.0,0.0
2025 BENTLEY CONTINENTAL,PHEV,0.0,50.0
2025 BENTLEY FLYING SPUR,PHEV,0.0,45.0
2025 BMW 550E,PHEV,0.0,40.0
2025 BMW I4,BEV,0.0,0.0
2025 BMW I5,BEV,0.0,0.0
2025 BMW I7,BEV,0.0,0.0
2025 BMW IX,BEV,0.0,0.0
2025 BMW M5,PHEV,0.0,25.0
2025 BMW X5,PHEV,0.0,40.0
2025 BMW XM,PHEV,0.0,31.0
2025 CADILLAC LYRIQ,BEV,0.0,0.0
2025 CADILLAC OPTIQ,BEV,0.0,0.0
2025 CHEVROLET BLAZER,BEV,0.0,0.0
2025 CHEVROLET BRIGHTDROP,BEV,0.0,0.0
2025 CHEVROLET EQUINOX,BEV,0.0,0.0
2025 CHEVROLET SILVERADO,BEV,0.0,0.0
2025 CHRYSLER PACIFICA,PHEV,0.0,32.0
2025 DODGE CHARGER,BEV,0.0,0.0
2025 FORD ESCAPE,PHEV,0.0,37.0
2025 FORD F-150,BEV,0.0,0.0
2025 FORD MUSTANG MACH-E,BEV,0.0,0.0
2025 FORD TRANSIT,BEV,0.0,0.0
2025 GENESIS GV60,BEV,0.0,0.0
2025 GENESIS GV70,BEV,0.0,0.0
2025 GMC HUMMER EV PICKUP,BEV,0.0,0.0
2025 GMC HUMMER EV SUV,BEV,0.0,0.0
2025 GMC SIERRA,BEV,0.0,0.0
2025 HONDA PROLOGUE,BEV,0.0,0.0
2025 HYUNDAI IONIQ 5,BEV,0.0,0.0
2025 HYUNDAI IONIQ 5 N,BEV,0.0,0.0
2025 HYUNDAI IONIQ 6,BEV,0.0,0.0
2025 HYUNDAI KONA,BEV,0.0,0.0
2025 HYUNDAI TUCSON,PHEV,0.0,32.0
2025 JEEP GRAND CHEROKEE,PHEV,0.0,25.0
2025 JEEP WAGONEER S,BEV,0.0,0.0
2025 JEEP WRANGLER,PHEV,0.0,21.0
2025 KIA EV6,BEV,0.0,0.0
2025 KIA EV9,BEV,0.0,0.0
2025 KIA NIRO,BEV,0.0,0.0
2025 KIA NIRO,PHEV,0.0,33.0
2025 KIA SORENTO,PHEV,0.0,30.0
2025 KIA SPORTAGE,PHEV,0.0,34.0
2025 LAMBORGHINI REVUELTO,PHEV,,
2025 LAMBORGHINI URUS,PHEV,0.0,37.0
2025 LAND ROVER RANGE ROVER,PHEV,0.0,58.0
2025 LAND ROVER RANGE ROVER SPORT,PHEV,0.0,60.0
2025 LEXUS NX,PHEV,0.0,37.0
2025 LEXUS RX,PHEV,0.0,37.0
2025 LEXUS RZ,BEV,0.0,0.0
2025 LEXUS TX,PHEV,0.0,33.0
2025 LINCOLN CORSAIR,PHEV,0.0,27.0
2025 LUCID AIR,BEV,0.0,0.0
2025 MAZDA CX-70,PHEV,0.0,26.0
2025 MAZDA CX-90,PHEV,0.0,26.0
2025 MERCEDES-BENZ AMG GT,PHEV,0.0,1.0
2025 MERCEDES-BENZ C-CLASS,PHEV,0.0,1.0
2025 MERCEDES-BENZ E-CLASS,PHEV,0.0,43.0
2025 MERCEDES-BENZ EQB-CLASS,BEV,0.0,0.0
2025 MERCEDES-BENZ EQE-CLASS SEDAN,BEV,0.0,0.0
2025 MERCEDES-BENZ EQE-CLASS SUV,BEV,0.0,0.0
2025 MERCEDES-BENZ EQS-CLASS SEDAN,BEV,0.0,0.0
2025 MERCEDES-BENZ EQS-CLASS SUV,BEV,0.0,0.0
2025 MERCEDES-BENZ ESPRINTER,BEV,0.0,0.0
2025 MERCEDES-BENZ G-CLASS,BEV,0.0,0.0
2025 MERCEDES-BENZ GLC-CLASS,PHEV,0.0,54.0
2025 MERCEDES-BENZ GLE-CLASS,PHEV,0.0,49.0
2025 MERCEDES-BENZ S-CLASS,PHEV,0.0,16.0
2025 MERCEDES-BENZ SL-CLASS,PHEV,0.0,1.0
2025 MINI COUNTRYMAN,BEV,0.0,0.0
2025 MITSUBISHI OUTLANDER,PHEV,0.0,38.0
2025 NISSAN ARIYA,BEV,0.0,0.0
2025 NISSAN LEAF,BEV,0.0,0.0
2025 POLESTAR POLESTAR 3,BEV,0.0,0.0
2025 POLESTAR PS2,BEV,0.0,0.0
2025 PORSCHE CAYENNE,PHEV,0.0,29.0
2025 PORSCHE MACAN,BEV,0.0,0.0
2025 PORSCHE PANAMERA,PHEV,0.0,28.0
2025 PORSCHE TAYCAN,BEV,0.0,0.0
2025 RIVIAN EDV,BEV,0.0,0.0
2025 RIVIAN R1S,BEV,0.0,0.0
2025 RIVIAN R1T,BEV,0.0,0.0
2025 ROLLS-ROYCE SPECTRE,BEV,0.0,0.0
2025 SUBARU SOLTERRA,BEV,0.0,0.0
2025 TESLA CYBERTRUCK,BEV,0.0,0.0
2025 TESLA MODEL 3,BEV,0.0,0.0
2025 TESLA MODEL S,BEV,0.0,0.0
2025 TESLA MODEL X,BEV,0.0,0.0
2025 TESLA MODEL Y,BEV,0.0,0.0
2025 TOYOTA BZ4X,BEV,0.0,0.0
2025 TOYOTA PRIUS PRIME (PHEV),PHEV,0.0,39.0
2025 TOYOTA RAV4 PRIME (PHEV),PHEV,0.0,42.0
2025 VOLKSWAGEN ID. BUZZ,BEV,0.0,0.0
2025 VOLKSWAGEN ID.4,BEV,0.0,0.0
2025 VOLVO EX30,BEV,0.0,0.0
2025 VOLVO EX40,BEV,0.0,0.0
2025 VOLVO EX90,BEV,0.0,0.0
2025 VOLVO S60,PHEV,0.0,41.0
2025 VOLVO V60,PHEV,0.0,41.0
2025 VOLVO XC60,PHEV,0.0,35.0
2025 VOLVO XC90,PHEV,0.0,32.0
2026 BMW 550E,PHEV,0.0,33.0
2026 BMW I5,BEV,0.0,0.0
2026 BMW IX,BEV,0.0,0.0
2026 BMW M5,PHEV,0.0,25.0
2026 BMW X5,PHEV,0.0,38.0
2026 CADILLAC LYRIQ,BEV,0.0,0.0
2026 CADILLAC VISTIQ,BEV,0.0,0.0
2026 CHEVROLET SILVERADO,BEV,0.0,0.0
2026 GENESIS GV70,BEV,0.0,0.0
2026 HYUNDAI IONIQ 9,BEV,0.0,0.0
2026 KIA EV9,BEV,0.0,0.0
2026 TESLA MODEL S,BEV,0.0,0.0
2026 TESLA MODEL X,BEV,0.0,0.0
2026 TESLA MODEL Y,BEV,0.0,0.0
2026 VOLVO XC60,PHEV,0.0,35.0
