Model,Base Price,Dest. Charge,Tax Credit,Effective Price
2024 Ford F-150 Lightning Lariat ER 20-in,"$79,495 ","$2,095 ","$7,500 ","$74,090 "
2024 Ford F-150 Lightning Platinum ER 22-in,"$84,995 ","$2,095 ",N/A,"$87,090 "
2024 Ford F-150 Lightning Platinum B. ER 22-in,"$92,995 ","$2,095 ",N/A,"$95,090 "
2023 Ford Must. Mach-E Select SR RWD 18-in,"$42,995 ","$1,800 ",N/A,"$44,795 "
2023 Ford Must. Mach-E Select SR AWD 18-in,"$45,995 ","$1,800 ",N/A,"$47,795 "
2023 Ford Must. Mach-E Prem. SR RWD 19-in,"$46,995 ","$1,800 ",N/A,"$48,795 "
2023 Ford Must. Mach-E Prem. SR AWD 19-in,"$49,995 ","$1,800 ",N/A,"$51,795 "
2023 Ford Must. Mach-E Prem. ER RWD 19-in,"$53,995 ","$1,800 ",N/A,"$55,795 "
2023 Ford Must. Mach-E Prem. ER AWD 19-in,"$56,995 ","$1,800 ",N/A,"$58,795 "
2023 Ford Must. Mach-E R1 ER AWD 18-in,"$56,995 ","$1,800 ",N/A,"$58,795 "
2023 Ford Must. Mach-E GT ER AWD 20-in,"$59,995 ","$1,800 ",N/A,"$61,795 "
2023 Ford Must. Mach-E GT P ER AWD 20-in,"$64,995 ","$1,800 ",N/A,"$66,795 "
2024 Genesis Electrified G80 AWD 19-in,"$74,375 ","$1,195 ",N/A,"$75,570 "
2024 Genesis GV60 Standard RWD 19-in,"$52,000 ","$1,195 ",N/A,"$53,195 "
2024 Genesis GV60 Advanced AWD 20-in,"$60,550 ","$1,195 ",N/A,"$61,745 "
2024 Genesis GV60 Performance AWD 21-in,"$69,550 ","$1,195 ",N/A,"$70,745 "
2024 Genesis Electrified GV70 Adv AWD 20-in,"$66,450 ","$1,125 ",N/A,"$67,575 "
"2024 GMC Hummer EV Pickup 3X 20, 22-in AT","$104,650 ","$2,295 ",N/A,"$106,945 "
"2024 GMC Hummer EV Pickup 3X 20, 18-in MT","$114,645 ","$2,295 ",N/A,"$116,940 "
"2024 GMC Hummer EV Pickup 3X 24, 22-in AT","$114,645 ","$2,295 ",N/A,"$116,940 "
"2024 GMC Hummer EV Pickup 3X 24, 18-in MT","$124,640 ","$2,295 ",N/A,"$126,935 "
"2024 GMC Hummer EV Pickup 2X 20, 22-in AT","$96,550 ","$2,295 ",N/A,"$98,845 "
"2024 GMC Hummer EV Pickup 2X 20, 18-in MT","$106,545 ","$2,295 ",N/A,"$108,840 "
"2024 GMC Hummer EV SUV 3X 20, 22-in AT","$104,650 ","$2,295 ",N/A,"$106,945 "
"2024 GMC Hummer EV SUV 3X 20, 18-in MT","$114,645 ","$2,295 ",N/A,"$116,940 "
"2024 GMC Hummer EV SUV 2X, 20, 22-in AT","$96,550 ","$2,295 ",N/A,"$98,845 "
"2024 GMC Hummer EV SUV 2X 20, 18-in MT","$106,545 ","$2,295 ",N/A,"$108,840 "
2024 GMC Sierra EV Denali Edition 1 24-in,"$107,000 ","$1,695 ",N/A,"$108,695 "
2024 Honda Prologue EX FWD (85) 19-in,"$47,400 ","$1,395 ",N/A,"$48,795 "
2024 Honda Prologue EX AWD (85) 19-in,"$50,400 ","$1,395 ",N/A,"$51,795 "
2024 Honda Prologue Touring FWD (85) 19-in,"$51,700 ","$1,395 ",N/A,"$53,095 "
2024 Honda Prologue Touring AWD (85) 19-in,"$54,700 ","$1,395 ",N/A,"$56,095 "
2024 Honda Prologue Elite AWD (85) 21-in,"$57,900 ","$1,395 ",N/A,"$59,295 "
2024 Hyundai Ioniq 5 SE SR RWD 19-in,"$41,800 ","$1,375 ",N/A,"$43,175 "
2024 Hyundai Ioniq 5 SE RWD 19-in,"$45,850 ","$1,375 ",N/A,"$47,225 "
2024 Hyundai Ioniq 5 SE AWD 19-in,"$49,350 ","$1,375 ",N/A,"$50,725 "
2024 Hyundai Ioniq 5 SEL RWD 19-in,"$47,400 ","$1,375 ",N/A,"$48,775 "
2024 Hyundai Ioniq 5 SEL AWD 19-in,"$50,900 ","$1,375 ",N/A,"$52,275 "
2024 Hyundai Ioniq 5 Limited RWD 19-in,"$53,500 ","$1,375 ",N/A,"$54,875 "
2024 Hyundai Ioniq 5 Limited AWD 20-in,"$57,400 ","$1,375 ",N/A,"$58,775 "
2024 Hyundai Ioniq 6 SE RWD LR 18-in,"$42,450 ","$1,115 ",N/A,"$43,565 "
2024 Hyundai Ioniq 6 SE AWD LR 18-in,"$45,950 ","$1,115 ",N/A,"$47,065 "
2024 Hyundai Ioniq 6 SEL RWD LR 20-in,"$45,250 ","$1,115 ",N/A,"$46,365 "
2024 Hyundai Ioniq 6 SEL AWD LR 20-in,"$48,750 ","$1,115 ",N/A,"$49,865 "
2024 Hyundai Ioniq 6 Limited RWD LR 20-in,"$50,150 ","$1,115 ",N/A,"$51,265 "
2024 Hyundai Ioniq 6 Limited AWD LR 20-in,"$53,650 ","$1,115 ",N/A,"$54,765 "
2024 Hyundai Kona Electric SE (48.6) 17-in,"$32,675 ","$1,335 ",N/A,"$34,010 "
2024 Hyundai Kona Electric SEL (64.8) 17-in,"$36,675 ","$1,335 ",N/A,"$38,010 "
2024 Hyundai Kona Electric Limit. (64.8) 17-in,"$41,045 ","$1,335 ",N/A,"$42,380 "
2024 Jaguar I-Pace EV400 20-in,"$72,000 ","$1,275 ",N/A,"$73,275 "
2024 Jaguar I-Pace EV400 22-in,"$74,000 ","$1,275 ",N/A,"$75,275 "
2024 Kia EV6 Light RWD SR 19-in,"$42,600 ","$1,325 ",N/A,"$43,925 "
2024 Kia EV6 Light RWD LR 19-in,"$45,950 ","$1,325 ",N/A,"$47,275 "
2024 Kia EV6 Light AWD LR 19-in,"$49,850 ","$1,325 ",N/A,"$51,175 "
2024 Kia EV6 Wind RWD LR 19-in,"$48,700 ","$1,325 ",N/A,"$50,025 "
2024 Kia EV6 Wind AWD LR 19-in,"$52,600 ","$1,325 ",N/A,"$53,925 "
2024 Kia EV6 GT-Line RWD LR 19-in,"$52,900 ","$1,325 ",N/A,"$54,225 "
2024 Kia EV6 GT-Line AWD LR 20-in,"$57,600 ","$1,325 ",N/A,"$58,925 "
2024 Kia EV6 GT AWD LR 21-in,"$61,600 ","$1,325 ",N/A,"$62,925 "
2024 Kia EV9 Light (7 seat) RWD SR 19-in,"$54,900 ","$1,495 ",N/A,"$56,395 "
2024 Kia EV9 Light (6 seat) RWD LR 19-in,"$59,200 ","$1,495 ",N/A,"$60,695 "
2024 Kia EV9 Wind (7 seat) AWD LR 19-in,"$63,900 ","$1,495 ",N/A,"$65,395 "
2024 Kia EV9 Land (6 seat) AWD LR 20-in,"$69,900 ","$1,495 ",N/A,"$71,395 "
2024 Kia EV9 GT-Line (6 seat) AWD LR 21-in,"$73,900 ","$1,495 ",N/A,"$75,395 "
2024 Kia Niro EV 17-in,"$39,600 ","$1,325 ",N/A,"$40,925 "
2024 Lexus RZ 300e Premium FWD 18-in,"$54,000 ","$1,150 ",N/A,"$55,150 "
2024 Lexus RZ 300e Premium FWD 20-in,"$55,240 ","$1,150 ",N/A,"$56,390 "
2024 Lexus RZ 300e Luxury FWD 20-in,"$59,730 ","$1,150 ",N/A,"$60,880 "
2024 Lexus RZ 450e Premium AWD 18-in,"$58,700 ","$1,150 ",N/A,"$59,850 "
2024 Lexus RZ 450e Premium AWD 20-in,"$59,940 ","$1,150 ",N/A,"$61,090 "
2024 Lexus RZ 450e Luxury AWD 20-in,"$64,430 ","$1,150 ",N/A,"$65,580 "
2023 Lucid Air Pure AWD 19-in,"$82,400 ","$1,575 ",N/A,"$83,975 "
2023 Lucid Air Pure AWD 20-in,"$83,900 ","$1,575 ",N/A,"$85,475 "
2023 Lucid Air Grand Touring AWD 19-in,"$125,600 ","$1,575 ",N/A,"$127,175 "
2023 Lucid Air Grand Touring AWD 20-in,"$125,600 ","$1,575 ",N/A,"$127,175 "
2023 Lucid Air Grand Touring AWD 21-in,"$127,100 ","$1,575 ",N/A,"$128,675 "
2023 Lucid Air Grand Touring Perf. 21-in,"$149,600 ","$1,575 ",N/A,"$151,175 "
2024 Lucid Air Pure RWD 19-in,"$77,400 ","$1,575 ",N/A,"$78,975 "
2024 Lucid Air Pure RWD 20-in,"$79,150 ","$1,575 ",N/A,"$80,725 "
2024 Lucid Air Touring AWD 19-in,"$85,900 ","$1,575 ",N/A,"$87,475 "
2024 Lucid Air Touring AWD 20-in,"$87,650 ","$1,575 ",N/A,"$89,225 "
2024 Lucid Air Touring AWD 21-in,"$89,400 ","$1,575 ",N/A,"$90,975 "
2024 Lucid Air Grand Touring AWD 19-in,"$114,900 ","$1,575 ",N/A,"$116,475 "
2024 Lucid Air Grand Touring AWD 20-in,"$114,900 ","$1,575 ",N/A,"$116,475 "
2024 Lucid Air Grand Touring AWD 21-in,"$116,650 ","$1,575 ",N/A,"$118,225 "
2024 Lucid Air Sapphire 20-in (F) 21-in (R),"$249,000 ","$1,575 ",N/A,"$250,575 "
2023 Mercedes EQB 250+ 18-in,"$52,750 ","$1,150 ",N/A,"$53,900 "
2023 Mercedes EQB 300 4Matic 18-in,"$56,900 ","$1,150 ",N/A,"$58,050 "
2023 Mercedes EQB 350 4Matic 19-in,"$60,550 ","$1,150 ",N/A,"$61,700 "
2023 Mercedes EQE 350+ 19-in,"$74,900 ","$1,150 ",N/A,"$76,050 "
2023 Mercedes EQE 350 4Matic 19-in,"$77,900 ","$1,150 ",N/A,"$79,050 "
2023 Mercedes EQE 500 4Matic 19-in,"$85,900 ","$1,150 ",N/A,"$87,050 "
2023 Mercedes AMG EQE 4Matic+ 20-in,"$106,900 ","$1,150 ",N/A,"$108,050 "
2023 Mercedes EQE 350+ SUV 19-in,"$77,900 ","$1,150 ",N/A,"$79,050 "
2023 Mercedes EQE 350 4Matic SUV 19-in,"$77,900 ","$1,150 ",N/A,"$79,050 "
2023 Mercedes EQE 500 4Matic SUV 19-in,"$89,500 ","$1,150 ",N/A,"$90,650 "
2024 Mercedes AMG EQE 4Matic+ SUV 21-in,"$109,300 ","$1,150 ",N/A,"$110,450 "
2023 Mercedes EQS 450+ 20-in,"$104,400 ","$1,150 ",N/A,"$105,550 "
2023 Mercedes EQS 450 4Matic 20-in,"$107,400 ","$1,150 ",N/A,"$108,550 "
2023 Mercedes EQS 580 4Matic 21-in,"$125,950 ","$1,150 ",N/A,"$127,100 "
2023 Mercedes AMG EQS 4Matic+ 21-in,"$147,550 ","$1,150 ",N/A,"$148,700 "
2023 Mercedes EQS 450+ SUV 20-in,"$104,400 ","$1,150 ",N/A,"$105,550 "
2023 Mercedes EQS 450 4Matic SUV 20-in,"$107,400 ","$1,150 ",N/A,"$108,550 "
2023 Mercedes EQS 580 4Matic SUV 21-in,"$125,950 ","$1,150 ",N/A,"$127,100 "
2024 Mercedes-Maybach EQS 680 4M SUV 21-in,"$179,900 ","$1,150 ",N/A,"$181,050 "
2024 MINI Cooper SE Hardtop 2 door 16-in,"$30,900 ",$995 ,N/A,"$31,895 "
2023 Nissan Ariya Engage FWD (66) 19-in,"$43,190 ","$1,335 ",N/A,"$44,525 "
2023 Nissan Ariya Engage e-4ORCE (66) 19-in,"$47,190 ","$1,335 ",N/A,"$48,525 "
2023 Nissan Ariya Venture+ FWD 19-in,"$47,190 ","$1,335 ",N/A,"$48,525 "
2023 Nissan Ariya Evolve+ FWD 19-in,"$50,190 ","$1,335 ",N/A,"$51,525 "
2023 Nissan Ariya Empower+ FWD 19-in,"$53,690 ","$1,335 ",N/A,"$55,025 "
2023 Nissan Ariya Engage+ e-4ORCE 19-in,"$51,190 ","$1,335 ",N/A,"$52,525 "
2023 Nissan Ariya Evolve+ e-4ORCE 19-in,"$54,190 ","$1,335 ",N/A,"$55,525 "
2023 Nissan Ariya Platinum+ e-4ORCE 19-in,"$60,190 ","$1,335 ",N/A,"$61,525 "
2023 Nissan Ariya Platinum+ e-4ORCE 20-in,"$60,190 ","$1,335 ",N/A,"$61,525 "
2024 Nissan Leaf S (40 kWh) 16-in,"$28,140 ","$1,095 ",N/A,"$29,235 "
2024 Nissan Leaf SV Plus (60 kWh) 17-in,"$36,190 ","$1,095 ",N/A,"$37,285 "
2024 Polestar 2 LR Single Motor 19-in,"$49,900 ","$1,400 ",N/A,"$51,300 "
2024 Polestar 2 LR Single Motor 20-in,"$51,200 ","$1,400 ",N/A,"$52,600 "
2024 Polestar 2 LR Dual Motor 19-in,"$55,300 ","$1,400 ",N/A,"$56,700 "
2024 Polestar 2 LR Dual Motor 20-in,"$56,600 ","$1,400 ",N/A,"$58,000 "
2024 Polestar 2 LR Dual Motor Perf Pack 20-in,"$63,000 ","$1,400 ",N/A,"$64,400 "
2024 Polestar 3 LR Dual Motor 21-in,"$83,900 ","$1,400 ",N/A,"$85,300 "
2024 Polestar 3 LR Dual Motor Perf. 22-in,"$89,900 ","$1,400 ",N/A,"$91,300 "
2024 Porsche Macan 4 Electric 20-in,"$78,800 ","$1,650 ",N/A,"$80,450 "
2024 Porsche Macan Turbo Electric 20-in,"$105,300 ","$1,650 ",N/A,"$106,950 "
2023 Porsche Taycan (79 kWh) 19-in,"$90,900 ","$1,650 ",N/A,"$92,550 "
2023 Porsche Taycan 19-in,"$96,680 ","$1,650 ",N/A,"$98,330 "
2023 Porsche Taycan 4S (79 kWh) 19-in,"$111,700 ","$1,650 ",N/A,"$113,350 "
2023 Porsche Taycan 4S 19-in,"$117,270 ","$1,650 ",N/A,"$118,920 "
2023 Porsche Taycan GTS 20-in,"$139,300 ","$1,650 ",N/A,"$140,950 "
2023 Porsche Taycan Turbo 20-in,"$160,800 ","$1,650 ",N/A,"$162,450 "
2023 Porsche Taycan Turbo S 21-in,"$194,900 ","$1,650 ",N/A,"$196,550 "
2023 Porsche Taycan GTS Sport Turismo 20-in,"$141,200 ","$1,650 ",N/A,"$142,850 "
2023 Porsche Taycan 4 Cross Turismo 19-in,"$101,900 ","$1,650 ",N/A,"$103,550 "
2023 Porsche Taycan 4S Cross Turismo  19-in,"$118,200 ","$1,650 ",N/A,"$119,850 "
2023 Porsche Taycan Turbo Cross Tur. 20-in,"$163,400 ","$1,650 ",N/A,"$165,050 "
2023 Porsche Taycan Turbo S Cross Tur. 20-in,"$197,500 ","$1,650 ",N/A,"$199,150 "
"2023 Rivian R1S DM AWD, Std Pack, 21-in","$78,000 ","$1,800 ","$3,750 ","$76,050 "
"2023 Rivian R1S DM AWD, Std Pack, 22-in","$80,500 ","$1,800 ",N/A,"$82,300 "
"2023 Rivian R1S DM AWD, Large Pack, AT 20-in","$87,600 ","$1,800 ",N/A,"$89,400 "
"2023 Rivian R1S DM AWD, Large Pack, 21-in","$84,000 ","$1,800 ",N/A,"$85,800 "
"2023 Rivian R1S DM AWD, Large Pack, 22-in","$86,500 ","$1,800 ",N/A,"$88,300 "
"2023 Rivian R1S DM AWD, Max Pack, AT 20-in","$97,600 ","$1,800 ",N/A,"$99,400 "
"2023 Rivian R1S DM AWD, Max Pack, 21-in","$94,000 ","$1,800 ",N/A,"$95,800 "
"2023 Rivian R1S DM AWD, Max Pack, 22-in","$96,500 ","$1,800 ",N/A,"$98,300 "
"2023 Rivian R1S P. DM AWD, Large P, AT 20-in","$92,600 ","$1,800 ",N/A,"$94,400 "
"2023 Rivian R1S P. DM AWD, Large P., 21-in","$89,000 ","$1,800 ",N/A,"$90,800 "
"2023 Rivian R1S P. DM AWD, Large P., 22-in","$91,500 ","$1,800 ",N/A,"$93,300 "
"2023 Rivian R1S P. DM AWD, Max P., AT 20-in","$102,600 ","$1,800 ",N/A,"$104,400 "
"2023 Rivian R1S P. DM AWD, Max P., 21-in","$99,000 ","$1,800 ",N/A,"$100,800 "
"2023 Rivian R1S P. DM AWD, Max P., 22-in","$101,500 ","$1,800 ",N/A,"$103,300 "
"2023 Rivian R1S QM AWD, Large Pack, AT 20-in","$95,600 ","$1,800 ",N/A,"$97,400 "
"2023 Rivian R1S QM AWD, Large Pack, 21-in","$92,000 ","$1,800 ",N/A,"$93,800 "
"2023 Rivian R1S QM AWD, Large Pack, 22-in","$94,500 ","$1,800 ",N/A,"$96,300 "
"2023 Rivian R1T DM AWD, Std Pack, 21-in","$73,000 ","$1,800 ","$3,750 ","$71,050 "
"2023 Rivian R1T DM AWD, Std Pack, 22-in","$75,500 ","$1,800 ","$3,750 ","$73,550 "
"2023 Rivian R1T DM AWD, Large Pack, AT 20-in","$82,500 ","$1,800 ",N/A,"$84,300 "
"2023 Rivian R1T DM AWD, Large Pack, 21-in","$79,000 ","$1,800 ","$3,750 ","$77,050 "
"2023 Rivian R1T DM AWD, Large Pack, 22-in","$81,500 ","$1,800 ",N/A,"$83,300 "
"2023 Rivian R1T DM AWD, Max Pack, AT 20-in","$92,850 ","$1,800 ",N/A,"$94,650 "
"2023 Rivian R1T DM AWD, Max Pack, 21-in","$89,000 ","$1,800 ",N/A,"$90,800 "
"2023 Rivian R1T DM AWD, Max Pack, 22-in","$91,500 ","$1,800 ",N/A,"$93,300 "
"2023 Rivian R1T P. DM AWD, Large P, AT 20-in","$87,850 ","$1,800 ",N/A,"$89,650 "
"2023 Rivian R1T P. DM AWD, Large P., 21-in","$84,000 ","$1,800 ",N/A,"$85,800 "
"2023 Rivian R1T P. DM AWD, Large P., 22-in","$86,500 ","$1,800 ",N/A,"$88,300 "
