Model,Base Price,Dest. Charge,Tax Credit,Effective Price
2024 Tesla Model Y Perf. LR AWD 21-in,"$52,490 ","$1,640 ","$7,500 ","$46,630 "
2024 Toyota bZ4X XLE FWD 18-in,"$43,070 ","$1,350 ",N/A,"$44,420 "
2024 Toyota bZ4X Limited FWD 20-in,"$47,180 ","$1,350 ",N/A,"$48,530 "
2024 Toyota bZ4X XLE AWD 18-in,"$45,150 ","$1,350 ",N/A,"$46,500 "
2024 Toyota bZ4X Limited AWD 20-in,"$49,260 ","$1,350 ",N/A,"$50,610 "
2023 VinFast VF 8 Standard Edition Eco 19-in,"$46,000 ","$1,200 ",N/A,"$47,200 "
2023 VinFast VF 8 Standard Edition Plus 20-in,"$51,800 ","$1,200 ",N/A,"$53,000 "
2024 VinFast VF 9 Eco (7 seat) 20-in,"$79,800*",,N/A,"$79,800 "
2024 VinFast VF 9 Plus (7 or 6 seat) 21-in,"$85,800*",,N/A,"$85,800 "
2023 Volkswagen ID.4 Standard 19-in,"$38,995 ","$1,295 ","$7,500 ","$32,790 "
2023 Volkswagen ID.4 Pro 19-in,"$43,995 ","$1,295 ","$7,500 ","$37,790 "
2023 Volkswagen ID.4 S 20-in,"$43,995 ","$1,295 ","$7,500 ","$37,790 "
2023 Volkswagen ID.4 Pro S 20-in,"$48,995 ","$1,295 ","$7,500 ","$42,790 "
2023 Volkswagen ID.4 AWD Pro 19-in,"$47,795 ","$1,295 ","$7,500 ","$41,590 "
2023 Volkswagen ID.4 AWD Pro S 20-in,"$52,795 ","$1,295 ","$7,500 ","$46,590 "
2024 Volvo C40 Recharge RWD 19-in,"$53,600 ","$1,295 ",N/A,"$54,895 "
2024 Volvo C40 Recharge AWD 19-in,"$55,350 ","$1,295 ",N/A,"$56,645 "
2025 Volvo EX30 Single Motor Core RWD 18-in,"$34,950 ","$1,295 ",N/A,"$36,245 "
2025 Volvo EX30 Twin Motor Plus AWD 19-in,"$44,900 ","$1,295 ",N/A,"$46,195 "
2025 Volvo EX90 TM Plus (7 seat) AWD 20-in,"$76,695 ","$1,295 ",N/A,"$77,990 "
2025 Volvo EX90 TM Plus (6 seat) AWD 20-in,"$77,195 ","$1,295 ",N/A,"$78,490 "
2025 Volvo EX90 TM Ultra (7 seat) AWD 21-in,"$81,045 ","$1,295 ",N/A,"$82,340 "
2025 Volvo EX90 TM Ultra (6 seat) AWD 21-in,"$81,545 ","$1,295 ",N/A,"$82,840 "
2025 Volvo EX90 TM P. Plus (7 seat) AWD 20-in,"$81,695 ","$1,295 ",N/A,"$82,990 "
2025 Volvo EX90 TM P. Plus (6 seat) AWD 20-in,"$82,195 ","$1,295 ",N/A,"$83,490 "
2025 Volvo EX90 TM P. Ultra (7 seat) AWD 21-in,"$86,045 ","$1,295 ",N/A,"$87,340 "
2025 Volvo EX90 TM P. Ultra (6 seat) AWD 21-in,"$86,545 ","$1,295 ",N/A,"$87,840 "
2024 Volvo XC40 Recharge RWD 19-in,"$52,450 ","$1,295 ",N/A,"$53,745 "
2024 Volvo XC40 Recharge AWD 19-in,"$54,200 ","$1,295 ",N/A,"$55,495 "
