Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2024 Acura ZDX A-Spec RWD 20-in,"$64,500 ","$1,350 ",N/A,"$65,850 ",325
2024 Acura ZDX A-Spec AWD 20-in,"$68,500 ","$1,350 ",N/A,"$69,850 ",315
2024 Acura ZDX Type S AWD 22-in,"$73,500 ","$1,350 ",N/A,"$74,850 ",288
2024 Acura ZDX Type S (perf. tires) AWD 22-in,"$74,500 ","$1,350 ",N/A,"$75,850 ",289
2024 Audi e-tron GT 20-in,"$106,500 ","$1,495 ",N/A,"$107,995 ",249
2024 Audi RS e-tron GT 20-in,"$147,100 ","$1,495 ",N/A,"$148,595 ",249
2024 Audi Q4 40 e-tron 19-in,"$49,800 ","$1,195 ",N/A,"$50,995 ",265
2024 Audi Q4 50 e-tron quattro 19-in,"$55,200 ","$1,195 ",N/A,"$56,395 ",236
2024 Audi Q4 Sportback 50 e-tron quattro 20-in,"$58,200 ","$1,195 ",N/A,"$59,395 ",242
2024 Audi Q8 e-tron 20-in,"$74,400 ","$1,195 ",N/A,"$75,595 ",285
2024 Audi Q8 e-tron Sportback (Ultra) 19-in,"$77,800 ","$1,195 ",N/A,"$78,995 ",300
2024 Audi Q8 e-tron Sportback 20-in,"$77,800 ","$1,195 ",N/A,"$78,995 ",296
2024 Audi SQ8 e-tron 20-in,"$89,800 ","$1,195 ",N/A,"$90,995 ",253
2024 Audi SQ8 e-tron 21/22-in,"$89,800 ","$1,195 ",N/A,"$90,995 ",218
2024 Audi SQ8 Sportback e-tron 20-in,"$92,600 ","$1,195 ",N/A,"$93,795 ",253
2024 Audi SQ8 Sportback e-tron 21/22-in,"$92,600 ","$1,195 ",N/A,"$93,795 ",218
2024 BMW i4 eDrive35 18-in,"$52,200 ",$995 ,N/A,"$53,195 ",276
2024 BMW i4 eDrive35 19-in,"$52,800 ",$995 ,N/A,"$53,795 ",252
2024 BMW i4 eDrive40 18-in,"$57,300 ",$995 ,N/A,"$58,295 ",301
2024 BMW i4 eDrive40 19-in,"$57,900 ",$995 ,N/A,"$58,895 ",283
2024 BMW i4 xDrive40 18-in,"$61,600 ",$995 ,N/A,"$62,595 ",307
2024 BMW i4 xDrive40 19-in,"$62,200 ",$995 ,N/A,"$63,195 ",279
2024 BMW i4 M50 19-in,"$69,700 ",$995 ,N/A,"$70,695 ",269
2024 BMW i4 M50 20-in,"$72,200 ",$995 ,N/A,"$73,195 ",227
2024 BMW i5 eDrive40 19-in,"$66,800 ",$995 ,N/A,"$67,795 ",295
2024 BMW i5 eDrive40 20-in,"$67,600 ",$995 ,N/A,"$68,595 ",278
