Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2024 BMW i5 eDrive40 21-in,"$72,150 ",$995 ,N/A,"$73,145 ",270
2025 BMW i5 xDrive40 19-in,"$70,100 ",$995 ,N/A,"$71,095 ",
2024 BMW i5 M60 19-in,"$84,100 ",$995 ,N/A,"$85,095 ",256
2024 BMW i5 M60 20-in,"$84,900 ",$995 ,N/A,"$85,895 ",248
2024 BMW i5 M60 21-in,"$85,900 ",$995 ,N/A,"$86,895 ",240
2024 BMW i7 eDrive50 19-in,"$105,700 ",$995 ,N/A,"$106,695 ",321
2024 BMW i7 eDrive50 20-in,"$107,000 ",$995 ,N/A,"$107,995 ",301
2024 BMW i7 eDrive50 21-in,"$107,000 ",$995 ,N/A,"$107,995 ",311
2024 BMW i7 xDrive60 19-in,"$124,200 ",$995 ,N/A,"$125,195 ",317
2024 BMW i7 xDrive60 20-in,"$124,200 ",$995 ,N/A,"$125,195 ",298
2024 BMW i7 xDrive60 21-in,"$125,500 ",$995 ,N/A,"$126,495 ",307
2024 BMW i7 M70 20-in,"$168,500 ",$995 ,N/A,"$169,495 ",274
2024 BMW i7 M70 21-in,"$168,500 ",$995 ,N/A,"$169,495 ",291
2024 BMW iX xDrive50 20-in,"$87,100 ",$995 ,N/A,"$88,095 ",307
2024 BMW iX xDrive50 21-in,"$88,050 ",$995 ,N/A,"$89,045 ",307
2024 BMW iX xDrive50 22-in,"$89,000 ",$995 ,N/A,"$89,995 ",307
2024 BMW iX M60 21-in,"$111,500 ",$995 ,N/A,"$112,495 ",296
2024 BMW iX M60 22-in,"$112,450 ",$995 ,N/A,"$113,445 ",296
2024 Cadillac Celestiq 23-in,"$340,000*",,N/A,"$340,000 ",300
2025 Cadillac Escalade IQ 24-in,"$130,000*",,N/A,"$130,000 ",450
2024 Cadillac Lyriq Tech RWD 20-in,"$57,195 ","$1,395 ",N/A,"$58,590 ",314
2024 Cadillac Lyriq Tech AWD 20-in,"$60,695 ","$1,395 ",N/A,"$62,090 ",307
2024 Chevrolet Blazer EV LT eAWD (85) 19-in,"$55,320 ","$1,395 ",N/A,"$56,715 ",279
2024 Chevrolet Blazer EV RS eAWD (85) 21-in,"$58,820 ","$1,395 ",N/A,"$60,215 ",279
2024 Chevrolet Blazer EV RS RWD (102) 21-in,"$60,395 ","$1,395 ",N/A,"$61,790 ",324
2024 Chevrolet Blazer EV SS pAWD (102) 22-in,,,N/A,,294
2023 Chevrolet Bolt EV 1LT 17-in,"$26,500 ",$995 ,"$7,500 ","$19,995 ",259
2023 Chevrolet Bolt EUV LT 17-in,"$27,800 ",$995 ,"$7,500 ","$21,295 ",247
2024 Chevrolet Equinox EV LE FWD 21-in,"$48,995*",,N/A,"$48,995 ",319
2024 Chevrolet Equinox EV 1LT FWD 19-in,"$34,995*",,N/A,"$34,995 ",319
2024 Chevrolet Equinox EV 2RS eAWD 20-in,"$52,395*",,N/A,"$52,395 ",280
2024 Chevrolet Silverado EV 3WT 18-in,"$72,905 ","$1,895 ",N/A,"$74,800 ",393
2024 Chevrolet Silverado EV 4WT 18-in,"$77,905 ","$1,895 ",N/A,"$79,800 ",450
2024 Chevrolet Silverado EV RST 24-in,"$105,000 ","$1,895 ",N/A,"$106,895 ",400
2024 Fiat 500e RED 17-in,"$32,500 ","$1,595 ",N/A,"$34,095 ",149
2023 Fisker Ocean Sport 20-in,"$38,999*",,N/A,"$38,999 ",231
2023 Fisker Ocean Ultra 20-in,"$52,999*",,N/A,"$52,999 ",350
2023 Fisker Ocean Extreme 20-in,"$61,499*",,N/A,"$61,499 ",360
2023 Fisker Ocean One (sold out) 20-in,"$68,999*",,N/A,"$68,999 ",360
2024 Ford F-150 Lightning Pro SR 18-in,"$54,995 ","$2,095 ","$7,500 ","$49,590 ",240
2024 Ford F-150 Lightning XLT SR 18-in,"$64,995 ","$2,095 ","$7,500 ","$59,590 ",240
2024 Ford F-150 Lightning Flash ER 20-in,"$73,495 ","$2,095 ","$7,500 ","$68,090 ",320
2024 Ford F-150 Lightning Lariat ER 20-in,"$79,495 ","$2,095 ","$7,500 ","$74,090 ",320
2024 Ford F-150 Lightning Platinum ER 22-in,"$84,995 ","$2,095 ",N/A,"$87,090 ",300
2024 Ford F-150 Lightning Platinum B. ER 22-in,"$92,995 ","$2,095 ",N/A,"$95,090 ",300
2023 Ford Must. Mach-E Select SR RWD 18-in,"$42,995 ","$1,800 ",N/A,"$44,795 ",250
2023 Ford Must. Mach-E Select SR AWD 18-in,"$45,995 ","$1,800 ",N/A,"$47,795 ",226
2023 Ford Must. Mach-E Prem. SR RWD 19-in,"$46,995 ","$1,800 ",N/A,"$48,795 ",250
2023 Ford Must. Mach-E Prem. SR AWD 19-in,"$49,995 ","$1,800 ",N/A,"$51,795 ",226
2023 Ford Must. Mach-E Prem. ER RWD 19-in,"$53,995 ","$1,800 ",N/A,"$55,795 ",310
2023 Ford Must. Mach-E Prem. ER AWD 19-in,"$56,995 ","$1,800 ",N/A,"$58,795 ",290
2023 Ford Must. Mach-E R1 ER AWD 18-in,"$56,995 ","$1,800 ",N/A,"$58,795 ",312
2023 Ford Must. Mach-E GT ER AWD 20-in,"$59,995 ","$1,800 ",N/A,"$61,795 ",270
2023 Ford Must. Mach-E GT P ER AWD 20-in,"$64,995 ","$1,800 ",N/A,"$66,795 ",260
2024 Genesis Electrified G80 AWD 19-in,"$74,375 ","$1,195 ",N/A,"$75,570 ",282
2024 Genesis GV60 Standard RWD 19-in,"$52,000 ","$1,195 ",N/A,"$53,195 ",294
2024 Genesis GV60 Advanced AWD 20-in,"$60,550 ","$1,195 ",N/A,"$61,745 ",248
2024 Genesis GV60 Performance AWD 21-in,"$69,550 ","$1,195 ",N/A,"$70,745 ",235
2024 Genesis Electrified GV70 Adv AWD 20-in,"$66,450 ","$1,125 ",N/A,"$67,575 ",236
"2024 GMC Hummer EV Pickup 3X 20, 22-in AT","$104,650 ","$2,295 ",N/A,"$106,945 ",314
"2024 GMC Hummer EV Pickup 3X 20, 18-in MT","$114,645 ","$2,295 ",N/A,"$116,940 ",298
"2024 GMC Hummer EV Pickup 3X 24, 22-in AT","$114,645 ","$2,295 ",N/A,"$116,940 ",381
"2024 GMC Hummer EV Pickup 3X 24, 18-in MT","$124,640 ","$2,295 ",N/A,"$126,935 ",359
"2024 GMC Hummer EV Pickup 2X 20, 22-in AT","$96,550 ","$2,295 ",N/A,"$98,845 ",311
"2024 GMC Hummer EV Pickup 2X 20, 18-in MT","$106,545 ","$2,295 ",N/A,"$108,840 ",
"2024 GMC Hummer EV SUV 3X 20, 22-in AT","$104,650 ","$2,295 ",N/A,"$106,945 ",314
"2024 GMC Hummer EV SUV 3X 20, 18-in MT","$114,645 ","$2,295 ",N/A,"$116,940 ",298
"2024 GMC Hummer EV SUV 2X, 20, 22-in AT","$96,550 ","$2,295 ",N/A,"$98,845 ",303
"2024 GMC Hummer EV SUV 2X 20, 18-in MT","$106,545 ","$2,295 ",N/A,"$108,840 ",
2024 GMC Sierra EV Denali Edition 1 24-in,"$107,000 ","$1,695 ",N/A,"$108,695 ",400
2024 Honda Prologue EX FWD (85) 19-in,"$47,400 ","$1,395 ",N/A,"$48,795 ",296
2024 Honda Prologue EX AWD (85) 19-in,"$50,400 ","$1,395 ",N/A,"$51,795 ",281
2024 Honda Prologue Touring FWD (85) 19-in,"$51,700 ","$1,395 ",N/A,"$53,095 ",296
2024 Honda Prologue Touring AWD (85) 19-in,"$54,700 ","$1,395 ",N/A,"$56,095 ",281
2024 Honda Prologue Elite AWD (85) 21-in,"$57,900 ","$1,395 ",N/A,"$59,295 ",273
2024 Hyundai Ioniq 5 SE SR RWD 19-in,"$41,800 ","$1,375 ",N/A,"$43,175 ",220
2024 Hyundai Ioniq 5 SE RWD 19-in,"$45,850 ","$1,375 ",N/A,"$47,225 ",303
2024 Hyundai Ioniq 5 SE AWD 19-in,"$49,350 ","$1,375 ",N/A,"$50,725 ",260
2024 Hyundai Ioniq 5 SEL RWD 19-in,"$47,400 ","$1,375 ",N/A,"$48,775 ",303
2024 Hyundai Ioniq 5 SEL AWD 19-in,"$50,900 ","$1,375 ",N/A,"$52,275 ",260
2024 Hyundai Ioniq 5 Limited RWD 19-in,"$53,500 ","$1,375 ",N/A,"$54,875 ",303
2024 Hyundai Ioniq 5 Limited AWD 20-in,"$57,400 ","$1,375 ",N/A,"$58,775 ",260
2024 Hyundai Ioniq 6 SE RWD LR 18-in,"$42,450 ","$1,115 ",N/A,"$43,565 ",361
2024 Hyundai Ioniq 6 SE AWD LR 18-in,"$45,950 ","$1,115 ",N/A,"$47,065 ",316
2024 Hyundai Ioniq 6 SEL RWD LR 20-in,"$45,250 ","$1,115 ",N/A,"$46,365 ",305
2024 Hyundai Ioniq 6 SEL AWD LR 20-in,"$48,750 ","$1,115 ",N/A,"$49,865 ",270
2024 Hyundai Ioniq 6 Limited RWD LR 20-in,"$50,150 ","$1,115 ",N/A,"$51,265 ",305
2024 Hyundai Ioniq 6 Limited AWD LR 20-in,"$53,650 ","$1,115 ",N/A,"$54,765 ",270
2024 Hyundai Kona Electric SE (48.6) 17-in,"$32,675 ","$1,335 ",N/A,"$34,010 ",200
2024 Hyundai Kona Electric SEL (64.8) 17-in,"$36,675 ","$1,335 ",N/A,"$38,010 ",261
2024 Hyundai Kona Electric Limit. (64.8) 17-in,"$41,045 ","$1,335 ",N/A,"$42,380 ",261
2024 Jaguar I-Pace EV400 20-in,"$72,000 ","$1,275 ",N/A,"$73,275 ",246
2024 Jaguar I-Pace EV400 22-in,"$74,000 ","$1,275 ",N/A,"$75,275 ",217
2024 Kia EV6 Light RWD SR 19-in,"$42,600 ","$1,325 ",N/A,"$43,925 ",232
2024 Kia EV6 Light RWD LR 19-in,"$45,950 ","$1,325 ",N/A,"$47,275 ",310
2024 Kia EV6 Light AWD LR 19-in,"$49,850 ","$1,325 ",N/A,"$51,175 ",282
2024 Kia EV6 Wind RWD LR 19-in,"$48,700 ","$1,325 ",N/A,"$50,025 ",310
2024 Kia EV6 Wind AWD LR 19-in,"$52,600 ","$1,325 ",N/A,"$53,925 ",282
2024 Kia EV6 GT-Line RWD LR 19-in,"$52,900 ","$1,325 ",N/A,"$54,225 ",310
2024 Kia EV6 GT-Line AWD LR 20-in,"$57,600 ","$1,325 ",N/A,"$58,925 ",252
2024 Kia EV6 GT AWD LR 21-in,"$61,600 ","$1,325 ",N/A,"$62,925 ",218
2024 Kia EV9 Light (7 seat) RWD SR 19-in,"$54,900 ","$1,495 ",N/A,"$56,395 ",230
2024 Kia EV9 Light (6 seat) RWD LR 19-in,"$59,200 ","$1,495 ",N/A,"$60,695 ",304
2024 Kia EV9 Wind (7 seat) AWD LR 19-in,"$63,900 ","$1,495 ",N/A,"$65,395 ",280
2024 Kia EV9 Land (6 seat) AWD LR 20-in,"$69,900 ","$1,495 ",N/A,"$71,395 ",280
2024 Kia EV9 GT-Line (6 seat) AWD LR 21-in,"$73,900 ","$1,495 ",N/A,"$75,395 ",270
2024 Kia Niro EV 17-in,"$39,600 ","$1,325 ",N/A,"$40,925 ",253
2024 Lexus RZ 300e Premium FWD 18-in,"$54,000 ","$1,150 ",N/A,"$55,150 ",266
2024 Lexus RZ 300e Premium FWD 20-in,"$55,240 ","$1,150 ",N/A,"$56,390 ",224
2024 Lexus RZ 300e Luxury FWD 20-in,"$59,730 ","$1,150 ",N/A,"$60,880 ",224
2024 Lexus RZ 450e Premium AWD 18-in,"$58,700 ","$1,150 ",N/A,"$59,850 ",220
2024 Lexus RZ 450e Premium AWD 20-in,"$59,940 ","$1,150 ",N/A,"$61,090 ",196
2024 Lexus RZ 450e Luxury AWD 20-in,"$64,430 ","$1,150 ",N/A,"$65,580 ",196
2023 Lucid Air Pure AWD 19-in,"$82,400 ","$1,575 ",N/A,"$83,975 ",410
2023 Lucid Air Pure AWD 20-in,"$83,900 ","$1,575 ",N/A,"$85,475 ",384
2023 Lucid Air Grand Touring AWD 19-in,"$125,600 ","$1,575 ",N/A,"$127,175 ",516
2023 Lucid Air Grand Touring AWD 20-in,"$125,600 ","$1,575 ",N/A,"$127,175 ",469
2023 Lucid Air Grand Touring AWD 21-in,"$127,100 ","$1,575 ",N/A,"$128,675 ",469
2023 Lucid Air Grand Touring Perf. 21-in,"$149,600 ","$1,575 ",N/A,"$151,175 ",446
2024 Lucid Air Pure RWD 19-in,"$77,400 ","$1,575 ",N/A,"$78,975 ",419
2024 Lucid Air Pure RWD 20-in,"$79,150 ","$1,575 ",N/A,"$80,725 ",394
2024 Lucid Air Touring AWD 19-in,"$85,900 ","$1,575 ",N/A,"$87,475 ",411
2024 Lucid Air Touring AWD 20-in,"$87,650 ","$1,575 ",N/A,"$89,225 ",382
2024 Lucid Air Touring AWD 21-in,"$89,400 ","$1,575 ",N/A,"$90,975 ",365
2024 Lucid Air Grand Touring AWD 19-in,"$114,900 ","$1,575 ",N/A,"$116,475 ",500
2024 Lucid Air Grand Touring AWD 20-in,"$114,900 ","$1,575 ",N/A,"$116,475 ",
2024 Lucid Air Grand Touring AWD 21-in,"$116,650 ","$1,575 ",N/A,"$118,225 ",
2024 Lucid Air Sapphire 20-in (F) 21-in (R),"$249,000 ","$1,575 ",N/A,"$250,575 ",427
2023 Mercedes EQB 250+ 18-in,"$52,750 ","$1,150 ",N/A,"$53,900 ",245
2023 Mercedes EQB 300 4Matic 18-in,"$56,900 ","$1,150 ",N/A,"$58,050 ",232
2023 Mercedes EQB 350 4Matic 19-in,"$60,550 ","$1,150 ",N/A,"$61,700 ",221
2023 Mercedes EQE 350+ 19-in,"$74,900 ","$1,150 ",N/A,"$76,050 ",305
2023 Mercedes EQE 350 4Matic 19-in,"$77,900 ","$1,150 ",N/A,"$79,050 ",260
2023 Mercedes EQE 500 4Matic 19-in,"$85,900 ","$1,150 ",N/A,"$87,050 ",260
2023 Mercedes AMG EQE 4Matic+ 20-in,"$106,900 ","$1,150 ",N/A,"$108,050 ",225
2023 Mercedes EQE 350+ SUV 19-in,"$77,900 ","$1,150 ",N/A,"$79,050 ",279
2023 Mercedes EQE 350 4Matic SUV 19-in,"$77,900 ","$1,150 ",N/A,"$79,050 ",253
2023 Mercedes EQE 500 4Matic SUV 19-in,"$89,500 ","$1,150 ",N/A,"$90,650 ",269
2024 Mercedes AMG EQE 4Matic+ SUV 21-in,"$109,300 ","$1,150 ",N/A,"$110,450 ",235
2023 Mercedes EQS 450+ 20-in,"$104,400 ","$1,150 ",N/A,"$105,550 ",350
2023 Mercedes EQS 450 4Matic 20-in,"$107,400 ","$1,150 ",N/A,"$108,550 ",340
2023 Mercedes EQS 580 4Matic 21-in,"$125,950 ","$1,150 ",N/A,"$127,100 ",340
2023 Mercedes AMG EQS 4Matic+ 21-in,"$147,550 ","$1,150 ",N/A,"$148,700 ",277
2023 Mercedes EQS 450+ SUV 20-in,"$104,400 ","$1,150 ",N/A,"$105,550 ",305
2023 Mercedes EQS 450 4Matic SUV 20-in,"$107,400 ","$1,150 ",N/A,"$108,550 ",285
2023 Mercedes EQS 580 4Matic SUV 21-in,"$125,950 ","$1,150 ",N/A,"$127,100 ",285
2024 Mercedes-Maybach EQS 680 4M SUV 21-in,"$179,900 ","$1,150 ",N/A,"$181,050 ",280
2024 MINI Cooper SE Hardtop 2 door 16-in,"$30,900 ",$995 ,N/A,"$31,895 ",114
2023 Nissan Ariya Engage FWD (66) 19-in,"$43,190 ","$1,335 ",N/A,"$44,525 ",216
2023 Nissan Ariya Engage e-4ORCE (66) 19-in,"$47,190 ","$1,335 ",N/A,"$48,525 ",205
2023 Nissan Ariya Venture+ FWD 19-in,"$47,190 ","$1,335 ",N/A,"$48,525 ",304
2023 Nissan Ariya Evolve+ FWD 19-in,"$50,190 ","$1,335 ",N/A,"$51,525 ",289
2023 Nissan Ariya Empower+ FWD 19-in,"$53,690 ","$1,335 ",N/A,"$55,025 ",289
2023 Nissan Ariya Engage+ e-4ORCE 19-in,"$51,190 ","$1,335 ",N/A,"$52,525 ",272
2023 Nissan Ariya Evolve+ e-4ORCE 19-in,"$54,190 ","$1,335 ",N/A,"$55,525 ",272
2023 Nissan Ariya Platinum+ e-4ORCE 19-in,"$60,190 ","$1,335 ",N/A,"$61,525 ",267
2023 Nissan Ariya Platinum+ e-4ORCE 20-in,"$60,190 ","$1,335 ",N/A,"$61,525 ",257
2024 Nissan Leaf S (40 kWh) 16-in,"$28,140 ","$1,095 ",N/A,"$29,235 ",149
2024 Nissan Leaf SV Plus (60 kWh) 17-in,"$36,190 ","$1,095 ",N/A,"$37,285 ",212
2024 Polestar 2 LR Single Motor 19-in,"$49,900 ","$1,400 ",N/A,"$51,300 ",320
2024 Polestar 2 LR Single Motor 20-in,"$51,200 ","$1,400 ",N/A,"$52,600 ",307
2024 Polestar 2 LR Dual Motor 19-in,"$55,300 ","$1,400 ",N/A,"$56,700 ",276
2024 Polestar 2 LR Dual Motor 20-in,"$56,600 ","$1,400 ",N/A,"$58,000 ",266
2024 Polestar 2 LR Dual Motor Perf Pack 20-in,"$63,000 ","$1,400 ",N/A,"$64,400 ",247
2024 Polestar 3 LR Dual Motor 21-in,"$83,900 ","$1,400 ",N/A,"$85,300 ",300
2024 Polestar 3 LR Dual Motor Perf. 22-in,"$89,900 ","$1,400 ",N/A,"$91,300 ",270
2024 Porsche Macan 4 Electric 20-in,"$78,800 ","$1,650 ",N/A,"$80,450 ",
2024 Porsche Macan Turbo Electric 20-in,"$105,300 ","$1,650 ",N/A,"$106,950 ",
2023 Porsche Taycan (79 kWh) 19-in,"$90,900 ","$1,650 ",N/A,"$92,550 ",208
2023 Porsche Taycan 19-in,"$96,680 ","$1,650 ",N/A,"$98,330 ",242
2023 Porsche Taycan 4S (79 kWh) 19-in,"$111,700 ","$1,650 ",N/A,"$113,350 ",206
2023 Porsche Taycan 4S 19-in,"$117,270 ","$1,650 ",N/A,"$118,920 ",235
2023 Porsche Taycan GTS 20-in,"$139,300 ","$1,650 ",N/A,"$140,950 ",246
2023 Porsche Taycan Turbo 20-in,"$160,800 ","$1,650 ",N/A,"$162,450 ",238
2023 Porsche Taycan Turbo S 21-in,"$194,900 ","$1,650 ",N/A,"$196,550 ",222
2023 Porsche Taycan GTS Sport Turismo 20-in,"$141,200 ","$1,650 ",N/A,"$142,850 ",233
2023 Porsche Taycan 4 Cross Turismo 19-in,"$101,900 ","$1,650 ",N/A,"$103,550 ",235
2023 Porsche Taycan 4S Cross Turismo  19-in,"$118,200 ","$1,650 ",N/A,"$119,850 ",230
2023 Porsche Taycan Turbo Cross Tur. 20-in,"$163,400 ","$1,650 ",N/A,"$165,050 ",233
2023 Porsche Taycan Turbo S Cross Tur. 20-in,"$197,500 ","$1,650 ",N/A,"$199,150 ",222
"2023 Rivian R1S DM AWD, Std Pack, 21-in","$78,000 ","$1,800 ","$3,750 ","$76,050 ",260
"2023 Rivian R1S DM AWD, Std Pack, 22-in","$80,500 ","$1,800 ",N/A,"$82,300 ",
"2023 Rivian R1S DM AWD, Large Pack, AT 20-in","$87,600 ","$1,800 ",N/A,"$89,400 ",307
"2023 Rivian R1S DM AWD, Large Pack, 21-in","$84,000 ","$1,800 ",N/A,"$85,800 ",352
"2023 Rivian R1S DM AWD, Large Pack, 22-in","$86,500 ","$1,800 ",N/A,"$88,300 ",341
"2023 Rivian R1S DM AWD, Max Pack, AT 20-in","$97,600 ","$1,800 ",N/A,"$99,400 ",355
"2023 Rivian R1S DM AWD, Max Pack, 21-in","$94,000 ","$1,800 ",N/A,"$95,800 ",400
"2023 Rivian R1S DM AWD, Max Pack, 22-in","$96,500 ","$1,800 ",N/A,"$98,300 ",380
"2023 Rivian R1S P. DM AWD, Large P, AT 20-in","$92,600 ","$1,800 ",N/A,"$94,400 ",307
"2023 Rivian R1S P. DM AWD, Large P., 21-in","$89,000 ","$1,800 ",N/A,"$90,800 ",352
"2023 Rivian R1S P. DM AWD, Large P., 22-in","$91,500 ","$1,800 ",N/A,"$93,300 ",341
"2023 Rivian R1S P. DM AWD, Max P., AT 20-in","$102,600 ","$1,800 ",N/A,"$104,400 ",355
"2023 Rivian R1S P. DM AWD, Max P., 21-in","$99,000 ","$1,800 ",N/A,"$100,800 ",400
"2023 Rivian R1S P. DM AWD, Max P., 22-in","$101,500 ","$1,800 ",N/A,"$103,300 ",380
"2023 Rivian R1S QM AWD, Large Pack, AT 20-in","$95,600 ","$1,800 ",N/A,"$97,400 ",274
"2023 Rivian R1S QM AWD, Large Pack, 21-in","$92,000 ","$1,800 ",N/A,"$93,800 ",321
"2023 Rivian R1S QM AWD, Large Pack, 22-in","$94,500 ","$1,800 ",N/A,"$96,300 ",303
"2023 Rivian R1T DM AWD, Std Pack, 21-in","$73,000 ","$1,800 ","$3,750 ","$71,050 ",270
"2023 Rivian R1T DM AWD, Std Pack, 22-in","$75,500 ","$1,800 ","$3,750 ","$73,550 ",
"2023 Rivian R1T DM AWD, Large Pack, AT 20-in","$82,500 ","$1,800 ",N/A,"$84,300 ",307
"2023 Rivian R1T DM AWD, Large Pack, 21-in","$79,000 ","$1,800 ","$3,750 ","$77,050 ",352
"2023 Rivian R1T DM AWD, Large Pack, 22-in","$81,500 ","$1,800 ",N/A,"$83,300 ",341
"2023 Rivian R1T DM AWD, Max Pack, AT 20-in","$92,850 ","$1,800 ",N/A,"$94,650 ",355
"2023 Rivian R1T DM AWD, Max Pack, 21-in","$89,000 ","$1,800 ",N/A,"$90,800 ",410
"2023 Rivian R1T DM AWD, Max Pack, 22-in","$91,500 ","$1,800 ",N/A,"$93,300 ",380
"2023 Rivian R1T P. DM AWD, Large P, AT 20-in","$87,850 ","$1,800 ",N/A,"$89,650 ",307
"2023 Rivian R1T P. DM AWD, Large P., 21-in","$84,000 ","$1,800 ",N/A,"$85,800 ",352
"2023 Rivian R1T P. DM AWD, Large P., 22-in","$86,500 ","$1,800 ",N/A,"$88,300 ",341
"2023 Rivian R1T P. DM AWD, Max P., AT 20-in","$97,850 ","$1,800 ",N/A,"$99,650 ",355
"2023 Rivian R1T P. DM AWD, Max P., 21-in","$94,000 ","$1,800 ",N/A,"$95,800 ",410
"2023 Rivian R1T P. DM AWD, Max P., 22-in","$96,500 ","$1,800 ",N/A,"$98,300 ",380
"2023 Rivian R1T QM AWD, Large Pack, AT 20-in","$90,850 ","$1,800 ",N/A,"$92,650 ",274
"2023 Rivian R1T QM AWD, Large Pack, 21-in","$87,000 ","$1,800 ",N/A,"$88,800 ",328
"2023 Rivian R1T QM AWD, Large Pack, 22-in","$89,500 ","$1,800 ",N/A,"$91,300 ",303
2024 Rolls-Royce Spectre 22-in,"$420,000 ","$2,750 ",N/A,"$422,750 ",291
2024 Subaru Solterra Premium AWD 18-in,"$44,995 ","$1,345 ",N/A,"$46,340 ",227
2024 Subaru Solterra Limited AWD 20-in,"$48,495 ","$1,345 ",N/A,"$49,840 ",222
2024 Subaru Solterra Touring AWD 20-in,"$51,995 ","$1,345 ",N/A,"$53,340 ",222
2025 Tesla Cybertruck RWD,"$60,990*",,N/A,"$60,990 ",250
2024 Tesla Cybertruck AWD 20-in,"$79,990*","$2,245 ",N/A,"$82,235 ",340
2024 Tesla Cybertruck AWD AT,"$79,990*","$2,245 ",N/A,"$82,235 ",318
2024 Tesla Cybertruck AWD (RE) 20-in,"$95,990*","$2,245 ",N/A,"$98,235 ",470
2024 Tesla Cybertruck AWD (FS) AT,"$99,990*","$2,245 ",N/A,"$102,235 ",318
"2024 Tesla Cybertruck AWD (RE, FS) AT","$115,990*","$2,245 ",N/A,"$118,235 ",470
2024 Tesla Cybertruck Cyberbeast 20-in,"$99,990*","$2,245 ",N/A,"$102,235 ",320
2024 Tesla Cybertruck Cyberbeast AT,"$99,990*","$2,245 ",N/A,"$102,235 ",301
2024 Tesla Cybertruck Cyberbeast (RE) 20-in,"$115,990*","$2,245 ",N/A,"$118,235 ",440
2024 Tesla Cybertruck Cyberbeast (FS) AT,"$119,990*","$2,245 ",N/A,"$122,235 ",301
"2024 Tesla Cybertruck Cyberbeast (RE, FS) AT","$135,990*","$2,245 ",N/A,"$138,235 ",440
2024 Tesla Model 3 RWD 18-in,"$38,990 ","$1,640 ",N/A,"$40,630 ",272
2024 Tesla Model 3 RWD 19-in,"$40,490 ","$1,640 ",N/A,"$42,130 ",248
2024 Tesla Model 3 Long Range AWD 18-in,"$46,990 ","$1,640 ",N/A,"$48,630 ",341
2024 Tesla Model 3 Long Range AWD 19-in,"$48,490 ","$1,640 ",N/A,"$50,130 ",305
2024 Tesla Model S LR AWD 19-in,"$74,990 ","$1,640 ",N/A,"$76,630 ",405
2024 Tesla Model S LR AWD 21-in,"$79,490 ","$1,640 ",N/A,"$81,130 ",382
2024 Tesla Model S Plaid 19-in,"$89,990 ","$1,640 ",N/A,"$91,630 ",359
2024 Tesla Model S Plaid 21-in,"$94,490 ","$1,640 ",N/A,"$96,130 ",320
2024 Tesla Model X LR AWD 20-in,"$79,990 ","$1,640 ","$7,500 ","$74,130 ",335
2024 Tesla Model X LR AWD 22-in,"$85,490 ","$1,640 ",N/A,"$87,130 ",322
