County,Latitude,Longitude,Year,Make,Model,Vehicle Type,CAFV Eligibility,Year_Make_Model,POP_2025,Median Income,MSRP,Dest. Charge,Tax Credit,Effective Price,Electric Range
king,47.54748,-122.00292,2024,HONDA,PROLOGUE,BEV,Unknown,2024 HONDA PROLOGUE,2411700,154490,0,0,0,0,0
grays harbor,46.98384,-123.60076,2025,HONDA,PROLOGUE,BEV,Unknown,2025 HONDA PROLOGUE,77750,79893,0,0,0,0,0
king,47.64586,-122.3684,2018,HONDA,CLARITY,PHEV,Eligible,2018 HONDA CLARITY,2411700,154490,0,0,0,0,47
pierce,47.00328,-122.54332,2014,HONDA,ACCORD,PHEV,Not eligible,2014 HONDA ACCORD,959900,111126,0,0,0,0,13
grays harbor,46.97982,-123.88689,2019,HONDA,CLARITY,PHEV,Eligible,2019 HONDA CLARITY,77750,79893,0,0,0,0,47
island,48.23986,-122.40049,2020,HONDA,CLARITY,PHEV,Eligible,2020 HONDA CLARITY,88700,105012,0,0,0,0,47
kitsap,47.73689,-122.64681,2021,HONDA,CLARITY,PHEV,Eligible,2021 HONDA CLARITY,288900,114590,0,0,0,0,47
king,47.68156,-122.31676,2023,HYUNDAI,SANTA FE,PHEV,Eligible,2023 HYUNDAI SANTA FE,2411700,154490,0,0,0,0,30
king,47.70044,-122.38418,2023,HYUNDAI,IONIQ 5,BEV,Unknown,2023 HYUNDAI IONIQ 5,2411700,154490,0,0,0,0,0
pierce,47.26541,-122.45782,2023,HYUNDAI,IONIQ 6,BEV,Unknown,2023 HYUNDAI IONIQ 6,959900,111126,0,0,0,0,0
whatcom,48.75245,-122.47107,2023,HYUNDAI,KONA,BEV,Unknown,2023 HYUNDAI KONA,240500,102596,0,0,0,0,0
clallam,48.11892,-123.43112,2023,HYUNDAI,TUCSON,PHEV,Eligible,2023 HYUNDAI TUCSON,78650,84546,0,0,0,0,33
skagit,48.41566,-122.32355,2024,HYUNDAI,TUCSON,PHEV,Eligible,2024 HYUNDAI TUCSON,134600,99179,0,0,0,0,33
pierce,47.328,-122.58009,2024,HYUNDAI,KONA,BEV,Unknown,2024 HYUNDAI KONA,959900,111126,0,0,0,0,0
pierce,47.34235,-122.58964,2025,HYUNDAI,IONIQ 5,BEV,Unknown,2025 HYUNDAI IONIQ 5,959900,111126,0,0,0,0,0
king,47.68156,-122.31676,2025,HYUNDAI,KONA,BEV,Unknown,2025 HYUNDAI KONA,2411700,154490,0,0,0,0,0
king,47.72656,-122.30253,2025,HYUNDAI,IONIQ 6,BEV,Unknown,2025 HYUNDAI IONIQ 6,2411700,154490,0,0,0,0,0
king,47.70044,-122.38418,2025,HYUNDAI,TUCSON,PHEV,Eligible,2025 HYUNDAI TUCSON,2411700,154490,0,0,0,0,32
king,47.75781,-122.3175,2025,HYUNDAI,IONIQ 5 N,BEV,Unknown,2025 HYUNDAI IONIQ 5 N,2411700,154490,0,0,0,0,0
king,47.71871,-122.35029,2026,HYUNDAI,IONIQ 9,BEV,Unknown,2026 HYUNDAI IONIQ 9,2411700,154490,0,0,0,0,0
kitsap,47.5752,-122.61136,2022,HYUNDAI,KONA,BEV,Unknown,2022 HYUNDAI KONA,288900,114590,0,0,0,0,0
pierce,47.21584,-122.41249,2022,HYUNDAI,IONIQ 5,BEV,Unknown,2022 HYUNDAI IONIQ 5,959900,111126,0,0,0,0,0
pierce,47.16568,-122.40872,2022,HYUNDAI,SANTA FE,PHEV,Eligible,2022 HYUNDAI SANTA FE,959900,111126,0,0,0,0,31
skagit,48.46846,-122.33029,2022,HYUNDAI,TUCSON,PHEV,Eligible,2022 HYUNDAI TUCSON,134600,99179,0,0,0,0,33
whatcom,48.99404,-122.74888,2022,HYUNDAI,IONIQ,PHEV,Not eligible,2022 HYUNDAI IONIQ,240500,102596,0,0,0,0,29
whatcom,48.9429,-122.45079,2021,HYUNDAI,KONA,BEV,Unknown,2021 HYUNDAI KONA,240500,102596,0,0,0,0,0
snohomish,48.06114,-122.1769,2021,HYUNDAI,IONIQ,BEV,Unknown,2021 HYUNDAI IONIQ,873800,127475,0,0,0,0,0
snohomish,47.83448,-122.21061,2020,HYUNDAI,IONIQ,PHEV,Not eligible,2020 HYUNDAI IONIQ,873800,127475,0,0,0,0,29
jefferson,48.1212,-122.77263,2020,HYUNDAI,KONA,BEV,Eligible,2020 HYUNDAI KONA,33825,98262,0,0,0,0,258
pierce,47.38336,-122.6658,2019,HYUNDAI,KONA,BEV,Eligible,2019 HYUNDAI KONA,959900,111126,0,0,0,0,258
pierce,47.28596,-122.37684,2019,HYUNDAI,IONIQ,BEV,Eligible,2019 HYUNDAI IONIQ,959900,111126,0,0,0,0,124
clark,45.71668,-122.62731,2019,HYUNDAI,SONATA,PHEV,Not eligible,2019 HYUNDAI SONATA,542400,108973,0,0,0,0,28
clark,45.60365,-122.49212,2017,HYUNDAI,SONATA,PHEV,Not eligible,2017 HYUNDAI SONATA,542400,108973,0,0,0,0,27
san juan,48.53448,-123.01648,2017,HYUNDAI,IONIQ,BEV,Eligible,2017 HYUNDAI IONIQ,18550,104737,0,0,0,0,124
king,47.71871,-122.35029,2018,HYUNDAI,IONIQ,PHEV,Not eligible,2018 HYUNDAI IONIQ,2411700,154490,0,0,0,0,29
cowlitz,46.14681,-122.95058,2016,HYUNDAI,SONATA,PHEV,Not eligible,2016 HYUNDAI SONATA,114500,86738,0,0,0,0,27
king,47.64441,-122.1621,2022,JAGUAR,I-PACE,BEV,Unknown,2022 JAGUAR I-PACE,2411700,154490,0,0,0,0,0
king,47.67858,-122.13158,2019,JAGUAR,I-PACE,BEV,Eligible,2019 JAGUAR I-PACE,2411700,154490,0,0,0,0,234
king,47.65908,-122.40092,2024,JAGUAR,I-PACE,BEV,Unknown,2024 JAGUAR I-PACE,2411700,154490,0,0,0,0,0
pierce,47.16299,-122.02523,2023,JAGUAR,I-PACE,BEV,Unknown,2023 JAGUAR I-PACE,959900,111126,0,0,0,0,0
thurston,46.94239,-122.60735,2024,JEEP,WRANGLER,PHEV,Not eligible,2024 JEEP WRANGLER,309100,111908,0,0,0,0,21
king,47.67858,-122.13158,2024,JEEP,GRAND CHEROKEE,PHEV,Not eligible,2024 JEEP GRAND CHEROKEE,2411700,154490,0,0,0,0,25
king,47.57874,-122.30866,2024,JEEP,WAGONEER S,BEV,Unknown,2024 JEEP WAGONEER S,2411700,154490,0,0,0,0,0
king,47.46233,-122.32863,2025,JEEP,WRANGLER,PHEV,Not eligible,2025 JEEP WRANGLER,2411700,154490,0,0,0,0,21
king,47.43473,-122.29179,2025,JEEP,GRAND CHEROKEE,PHEV,Not eligible,2025 JEEP GRAND CHEROKEE,2411700,154490,0,0,0,0,25
island,48.23986,-122.40049,2025,JEEP,WAGONEER S,BEV,Unknown,2025 JEEP WAGONEER S,88700,105012,0,0,0,0,0
clark,45.63201,-122.62934,2022,JEEP,WRANGLER,PHEV,Not eligible,2022 JEEP WRANGLER,542400,108973,0,0,0,0,22
king,47.60326,-122.02054,2022,JEEP,GRAND CHEROKEE,PHEV,Not eligible,2022 JEEP GRAND CHEROKEE,2411700,154490,0,0,0,0,25
king,47.43473,-122.29179,2023,JEEP,GRAND CHEROKEE,PHEV,Not eligible,2023 JEEP GRAND CHEROKEE,2411700,154490,0,0,0,0,25
thurston,46.98876,-122.81754,2023,JEEP,WRANGLER,PHEV,Not eligible,2023 JEEP WRANGLER,309100,111908,0,0,0,0,21
kitsap,47.73689,-122.64681,2021,JEEP,WRANGLER,PHEV,Not eligible,2021 JEEP WRANGLER,288900,114590,0,0,0,0,21
clark,45.60365,-122.49212,2024,KIA,EV6,BEV,Unknown,2024 KIA EV6,542400,108973,0,0,0,0,0
snohomish,47.83448,-122.21061,2024,KIA,NIRO,PHEV,Eligible,2024 KIA NIRO,873800,127475,0,0,0,0,33
king,47.63131,-122.11867,2024,KIA,EV9,BEV,Unknown,2024 KIA EV9,2411700,154490,0,0,0,0,0
king,47.40173,-122.3219,2024,KIA,SPORTAGE,PHEV,Eligible,2024 KIA SPORTAGE,2411700,154490,0,0,0,0,34
kitsap,47.54103,-122.63847,2024,KIA,SORENTO,PHEV,Eligible,2024 KIA SORENTO,288900,114590,0,0,0,0,32
king,47.70044,-122.38418,2023,KIA,EV6,BEV,Unknown,2023 KIA EV6,2411700,154490,0,0,0,0,0
spokane,47.57261,-117.68269,2023,KIA,SPORTAGE,PHEV,Eligible,2023 KIA SPORTAGE,566000,94226,0,0,0,0,34
snohomish,47.91265,-122.09305,2023,KIA,NIRO,PHEV,Eligible,2023 KIA NIRO,873800,127475,0,0,0,0,33
adams,46.82616,-119.1742,2023,KIA,SORENTO,PHEV,Eligible,2023 KIA SORENTO,21550,70719,0,0,0,0,32
king,47.5301,-122.03439,2025,KIA,SPORTAGE,PHEV,Eligible,2025 KIA SPORTAGE,2411700,154490,0,0,0,0,34
kitsap,47.7487,-122.51843,2025,KIA,NIRO,PHEV,Eligible,2025 KIA NIRO,288900,114590,0,0,0,0,33
king,47.75781,-122.3175,2025,KIA,EV6,BEV,Unknown,2025 KIA EV6,2411700,154490,0,0,0,0,0
king,47.63824,-122.35022,2025,KIA,SORENTO,PHEV,Eligible,2025 KIA SORENTO,2411700,154490,0,0,0,0,30
king,47.46233,-122.32863,2025,KIA,EV9,BEV,Unknown,2025 KIA EV9,2411700,154490,0,0,0,0,0
pierce,47.10424,-122.30855,2026,KIA,EV9,BEV,Unknown,2026 KIA EV9,959900,111126,0,0,0,0,0
thurston,47.05997,-122.87741,2022,KIA,SORENTO,PHEV,Eligible,2022 KIA SORENTO,309100,111908,0,0,0,0,32
snohomish,48.06114,-122.1769,2022,KIA,EV6,BEV,Unknown,2022 KIA EV6,873800,127475,0,0,0,0,0
skagit,48.46846,-122.33029,2022,KIA,NIRO,BEV,Unknown,2022 KIA NIRO,134600,99179,0,0,0,0,0
king,47.55379,-122.30346,2021,KIA,NIRO,BEV,Unknown,2021 KIA NIRO,2411700,154490,0,0,0,0,0
king,47.68156,-122.31676,2020,KIA,NIRO,BEV,Eligible,2020 KIA NIRO,2411700,154490,0,0,0,0,239
snohomish,48.06114,-122.1769,2019,KIA,NIRO,PHEV,Not eligible,2019 KIA NIRO,873800,127475,0,0,0,0,26
yakima,46.59751,-120.52041,2019,KIA,OPTIMA,PHEV,Not eligible,2019 KIA OPTIMA,264650,76662,0,0,0,0,29
snohomish,48.01497,-122.06402,2019,KIA,SOUL,BEV,Unknown,2019 KIA SOUL,873800,127475,0,0,0,0,0
snohomish,47.87115,-122.1389,2018,KIA,OPTIMA,PHEV,Not eligible,2018 KIA OPTIMA,873800,127475,0,0,0,0,29
pierce,47.23451,-122.53166,2018,KIA,NIRO,PHEV,Not eligible,2018 KIA NIRO,959900,111126,0,0,0,0,26
snohomish,47.82557,-122.29245,2017,KIA,OPTIMA,PHEV,Not eligible,2017 KIA OPTIMA,873800,127475,0,0,0,0,29
snohomish,47.91265,-122.09305,2015,KIA,SOUL,BEV,Eligible,2015 KIA SOUL,873800,127475,0,0,0,0,93
king,47.60803,-122.31009,2020,KIA,OPTIMA,PHEV,Not eligible,2020 KIA OPTIMA,2411700,154490,0,0,0,0,28
king,47.67887,-122.2066,2025,LAMBORGHINI,URUS,PHEV,Eligible,2025 LAMBORGHINI URUS,2411700,154490,0,0,0,0,37
king,47.57816,-122.21238,2025,LAMBORGHINI,REVUELTO,PHEV,Eligible,2025 LAMBORGHINI REVUELTO,2411700,154490,0,0,0,0,0
spokane,47.66829,-117.1015,2024,LAMBORGHINI,REVUELTO,PHEV,Not eligible,2024 LAMBORGHINI REVUELTO,566000,94226,0,0,0,0,6
king,47.60326,-122.02054,2025,LAND ROVER,RANGE ROVER,PHEV,Eligible,2025 LAND ROVER RANGE ROVER,2411700,154490,0,0,0,0,58
king,47.60326,-122.02054,2025,LAND ROVER,RANGE ROVER SPORT,PHEV,Eligible,2025 LAND ROVER RANGE ROVER SPORT,2411700,154490,0,0,0,0,60
pierce,47.17669,-122.54764,2020,LAND ROVER,RANGE ROVER SPORT,PHEV,Not eligible,2020 LAND ROVER RANGE ROVER SPORT,959900,111126,0,0,0,0,19
spokane,47.65726,-117.41162,2020,LAND ROVER,RANGE ROVER,PHEV,Not eligible,2020 LAND ROVER RANGE ROVER,566000,94226,0,0,0,0,19
king,47.3074,-122.23035,2021,LAND ROVER,RANGE ROVER SPORT,PHEV,Not eligible,2021 LAND ROVER RANGE ROVER SPORT,2411700,154490,0,0,0,0,19
king,47.61344,-122.03539,2021,LAND ROVER,RANGE ROVER,PHEV,Not eligible,2021 LAND ROVER RANGE ROVER,2411700,154490,0,0,0,0,19
king,47.68555,-122.03287,2023,LAND ROVER,RANGE ROVER,PHEV,Eligible,2023 LAND ROVER RANGE ROVER,2411700,154490,0,0,0,0,51
king,47.68555,-122.03287,2024,LAND ROVER,RANGE ROVER SPORT,PHEV,Eligible,2024 LAND ROVER RANGE ROVER SPORT,2411700,154490,0,0,0,0,59
king,47.57874,-122.30866,2024,LAND ROVER,RANGE ROVER,PHEV,Eligible,2024 LAND ROVER RANGE ROVER,2411700,154490,0,0,0,0,59
king,47.55584,-122.12096,2023,LAND ROVER,RANGE ROVER SPORT,PHEV,Not eligible,2023 LAND ROVER RANGE ROVER SPORT,2411700,154490,0,0,0,0,19
king,47.57816,-122.21238,2024,LEXUS,RX,PHEV,Eligible,2024 LEXUS RX,2411700,154490,0,0,0,0,37
clark,45.69345,-122.55149,2024,LEXUS,TX,PHEV,Eligible,2024 LEXUS TX,542400,108973,0,0,0,0,33
pierce,47.20761,-122.53787,2024,LEXUS,RZ,BEV,Unknown,2024 LEXUS RZ,959900,111126,0,0,0,0,0
king,47.61001,-122.1872,2024,LEXUS,NX,PHEV,Eligible,2024 LEXUS NX,2411700,154490,0,0,0,0,37
pierce,47.21584,-122.41249,2025,LEXUS,RZ,BEV,Unknown,2025 LEXUS RZ,959900,111126,0,0,0,0,0
skagit,48.41644,-122.33891,2025,LEXUS,NX,PHEV,Eligible,2025 LEXUS NX,134600,99179,0,0,0,0,37
pierce,47.20144,-122.44718,2025,LEXUS,RX,PHEV,Eligible,2025 LEXUS RX,959900,111126,0,0,0,0,37
king,47.64586,-122.3684,2025,LEXUS,TX,PHEV,Eligible,2025 LEXUS TX,2411700,154490,0,0,0,0,33
king,47.61001,-122.1872,2023,LEXUS,RZ,BEV,Unknown,2023 LEXUS RZ,2411700,154490,0,0,0,0,0
clark,45.65675,-122.64695,2023,LEXUS,NX,PHEV,Eligible,2023 LEXUS NX,542400,108973,0,0,0,0,37
spokane,47.59431,-117.46996,2022,LEXUS,NX,PHEV,Eligible,2022 LEXUS NX,566000,94226,0,0,0,0,37
pierce,47.24737,-122.48271,2023,LINCOLN,CORSAIR,PHEV,Not eligible,2023 LINCOLN CORSAIR,959900,111126,0,0,0,0,28
kitsap,47.62732,-122.521,2023,LINCOLN,AVIATOR,PHEV,Not eligible,2023 LINCOLN AVIATOR,288900,114590,0,0,0,0,21
snohomish,47.81116,-122.37689,2024,LINCOLN,CORSAIR,PHEV,Not eligible,2024 LINCOLN CORSAIR,873800,127475,0,0,0,0,28
kittitas,47.195,-120.93943,2022,LINCOLN,CORSAIR,PHEV,Not eligible,2022 LINCOLN CORSAIR,48950,99709,0,0,0,0,28
benton,46.31484,-119.26844,2025,LINCOLN,CORSAIR,PHEV,Not eligible,2025 LINCOLN CORSAIR,219625,103290,0,0,0,0,27
pierce,47.38336,-122.6658,2022,LINCOLN,AVIATOR,PHEV,Not eligible,2022 LINCOLN AVIATOR,959900,111126,0,0,0,0,21
clark,45.64251,-122.57722,2020,LINCOLN,AVIATOR,PHEV,Not eligible,2020 LINCOLN AVIATOR,542400,108973,0,0,0,0,21
king,47.52716,-121.82432,2021,LINCOLN,AVIATOR,PHEV,Not eligible,2021 LINCOLN AVIATOR,2411700,154490,0,0,0,0,21
king,47.39394,-122.04526,2021,LINCOLN,CORSAIR,PHEV,Not eligible,2021 LINCOLN CORSAIR,2411700,154490,0,0,0,0,28
king,47.61344,-122.03539,2024,LUCID,AIR,BEV,Unknown,2024 LUCID AIR,2411700,154490,0,0,0,0,0
king,47.60326,-122.02054,2025,LUCID,AIR,BEV,Unknown,2025 LUCID AIR,2411700,154490,0,0,0,0,0
king,47.67858,-122.13158,2023,LUCID,AIR,BEV,Unknown,2023 LUCID AIR,2411700,154490,0,0,0,0,0
skagit,48.41644,-122.33891,2022,LUCID,AIR,BEV,Unknown,2022 LUCID AIR,134600,99179,0,0,0,0,0
snohomish,47.83785,-122.27734,2025,MAZDA,CX-90,PHEV,Not eligible,2025 MAZDA CX-90,873800,127475,0,0,0,0,26
spokane,47.65726,-117.41162,2025,MAZDA,CX-70,PHEV,Not eligible,2025 MAZDA CX-70,566000,94226,0,0,0,0,26
san juan,48.53448,-123.01648,2024,MAZDA,CX-90,PHEV,Not eligible,2024 MAZDA CX-90,18550,104737,0,0,0,0,26
king,47.63131,-122.11867,2024,MERCEDES-BENZ,EQB-CLASS,BEV,Unknown,2024 MERCEDES-BENZ EQB-CLASS,2411700,154490,0,0,0,0,0
king,47.75448,-122.15545,2024,MERCEDES-BENZ,EQS-CLASS SUV,BEV,Unknown,2024 MERCEDES-BENZ EQS-CLASS SUV,2411700,154490,0,0,0,0,0
king,47.4466,-122.08747,2024,MERCEDES-BENZ,EQE-CLASS SEDAN,BEV,Unknown,2024 MERCEDES-BENZ EQE-CLASS SEDAN,2411700,154490,0,0,0,0,0
king,47.57874,-122.30866,2024,MERCEDES-BENZ,EQE-CLASS SUV,BEV,Unknown,2024 MERCEDES-BENZ EQE-CLASS SUV,2411700,154490,0,0,0,0,0
king,47.75448,-122.15545,2024,MERCEDES-BENZ,GLE-CLASS,PHEV,Eligible,2024 MERCEDES-BENZ GLE-CLASS,2411700,154490,0,0,0,0,48
king,47.63824,-122.35022,2024,MERCEDES-BENZ,EQS-CLASS SEDAN,BEV,Unknown,2024 MERCEDES-BENZ EQS-CLASS SEDAN,2411700,154490,0,0,0,0,0
king,47.48852,-122.15716,2024,MERCEDES-BENZ,S-CLASS,PHEV,Eligible,2024 MERCEDES-BENZ S-CLASS,2411700,154490,0,0,0,0,46
skagit,48.41566,-122.32355,2024,MERCEDES-BENZ,ESPRINTER,BEV,Unknown,2024 MERCEDES-BENZ ESPRINTER,134600,99179,0,0,0,0,0
king,47.72656,-122.30253,2023,MERCEDES-BENZ,EQE-CLASS SUV,BEV,Unknown,2023 MERCEDES-BENZ EQE-CLASS SUV,2411700,154490,0,0,0,0,0
king,47.55115,-122.2668,2023,MERCEDES-BENZ,EQB-CLASS,BEV,Unknown,2023 MERCEDES-BENZ EQB-CLASS,2411700,154490,0,0,0,0,0
king,47.68555,-122.03287,2023,MERCEDES-BENZ,EQE-CLASS SEDAN,BEV,Unknown,2023 MERCEDES-BENZ EQE-CLASS SEDAN,2411700,154490,0,0,0,0,0
king,47.75892,-122.24369,2023,MERCEDES-BENZ,EQS-CLASS SUV,BEV,Unknown,2023 MERCEDES-BENZ EQS-CLASS SUV,2411700,154490,0,0,0,0,0
king,47.61001,-122.1872,2023,MERCEDES-BENZ,EQS-CLASS SEDAN,BEV,Unknown,2023 MERCEDES-BENZ EQS-CLASS SEDAN,2411700,154490,0,0,0,0,0
whatcom,48.7449,-122.45486,2025,MERCEDES-BENZ,EQE-CLASS SUV,BEV,Unknown,2025 MERCEDES-BENZ EQE-CLASS SUV,240500,102596,0,0,0,0,0
king,47.57874,-122.30866,2025,MERCEDES-BENZ,EQS-CLASS SUV,BEV,Unknown,2025 MERCEDES-BENZ EQS-CLASS SUV,2411700,154490,0,0,0,0,0
king,47.57816,-122.21238,2025,MERCEDES-BENZ,G-CLASS,BEV,Unknown,2025 MERCEDES-BENZ G-CLASS,2411700,154490,0,0,0,0,0
clark,45.81539,-122.74595,2025,MERCEDES-BENZ,GLE-CLASS,PHEV,Eligible,2025 MERCEDES-BENZ GLE-CLASS,542400,108973,0,0,0,0,49
island,48.23986,-122.40049,2025,MERCEDES-BENZ,GLC-CLASS,PHEV,Eligible,2025 MERCEDES-BENZ GLC-CLASS,88700,105012,0,0,0,0,54
king,47.57894,-122.41067,2025,MERCEDES-BENZ,E-CLASS,PHEV,Eligible,2025 MERCEDES-BENZ E-CLASS,2411700,154490,0,0,0,0,43
king,47.61613,-122.23892,2025,MERCEDES-BENZ,S-CLASS,PHEV,Not eligible,2025 MERCEDES-BENZ S-CLASS,2411700,154490,0,0,0,0,16
king,47.61344,-122.03539,2025,MERCEDES-BENZ,EQB-CLASS,BEV,Unknown,2025 MERCEDES-BENZ EQB-CLASS,2411700,154490,0,0,0,0,0
king,47.57874,-122.30866,2025,MERCEDES-BENZ,EQE-CLASS SEDAN,BEV,Unknown,2025 MERCEDES-BENZ EQE-CLASS SEDAN,2411700,154490,0,0,0,0,0
king,47.61001,-122.1872,2025,MERCEDES-BENZ,EQS-CLASS SEDAN,BEV,Unknown,2025 MERCEDES-BENZ EQS-CLASS SEDAN,2411700,154490,0,0,0,0,0
king,47.57816,-122.21238,2025,MERCEDES-BENZ,AMG GT,PHEV,Not eligible,2025 MERCEDES-BENZ AMG GT,2411700,154490,0,0,0,0,1
king,47.3199,-122.1821,2025,MERCEDES-BENZ,C-CLASS,PHEV,Not eligible,2025 MERCEDES-BENZ C-CLASS,2411700,154490,0,0,0,0,1
grant,47.23748,-119.85338,2025,MERCEDES-BENZ,SL-CLASS,PHEV,Not eligible,2025 MERCEDES-BENZ SL-CLASS,106250,79271,0,0,0,0,1
whatcom,48.75245,-122.47107,2025,MERCEDES-BENZ,ESPRINTER,BEV,Unknown,2025 MERCEDES-BENZ ESPRINTER,240500,102596,0,0,0,0,0
king,47.3807,-122.23741,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,BEV,Unknown,2022 MERCEDES-BENZ EQS-CLASS SEDAN,2411700,154490,0,0,0,0,0
clark,45.58694,-122.40199,2022,MERCEDES-BENZ,EQB-CLASS,BEV,Unknown,2022 MERCEDES-BENZ EQB-CLASS,542400,108973,0,0,0,0,0
king,47.67887,-122.2066,2017,MERCEDES-BENZ,B-CLASS,BEV,Eligible,2017 MERCEDES-BENZ B-CLASS,2411700,154490,0,0,0,0,87
spokane,47.63374,-117.39322,2017,MERCEDES-BENZ,GLE-CLASS,PHEV,Not eligible,2017 MERCEDES-BENZ GLE-CLASS,566000,94226,0,0,0,0,10
king,47.61578,-122.34468,2017,MERCEDES-BENZ,C-CLASS,PHEV,Not eligible,2017 MERCEDES-BENZ C-CLASS,2411700,154490,0,0,0,0,8
whatcom,48.84787,-122.5945,2017,MERCEDES-BENZ,S-CLASS,PHEV,Not eligible,2017 MERCEDES-BENZ S-CLASS,240500,102596,0,0,0,0,12
king,47.50314,-122.3317,2018,MERCEDES-BENZ,GLC-CLASS,PHEV,Not eligible,2018 MERCEDES-BENZ GLC-CLASS,2411700,154490,0,0,0,0,9
king,47.64586,-122.3684,2018,MERCEDES-BENZ,C-CLASS,PHEV,Not eligible,2018 MERCEDES-BENZ C-CLASS,2411700,154490,0,0,0,0,8
king,47.5301,-122.03439,2018,MERCEDES-BENZ,GLE-CLASS,PHEV,Not eligible,2018 MERCEDES-BENZ GLE-CLASS,2411700,154490,0,0,0,0,8
king,47.61334,-122.12056,2019,MERCEDES-BENZ,GLC-CLASS,PHEV,Not eligible,2019 MERCEDES-BENZ GLC-CLASS,2411700,154490,0,0,0,0,10
king,47.49408,-122.36178,2014,MERCEDES-BENZ,B-CLASS,BEV,Eligible,2014 MERCEDES-BENZ B-CLASS,2411700,154490,0,0,0,0,87
pierce,47.17794,-122.67876,2015,MERCEDES-BENZ,B-CLASS,BEV,Eligible,2015 MERCEDES-BENZ B-CLASS,959900,111126,0,0,0,0,87
clark,45.58694,-122.40199,2015,MERCEDES-BENZ,S-CLASS,PHEV,Not eligible,2015 MERCEDES-BENZ S-CLASS,542400,108973,0,0,0,0,14
king,47.75781,-122.3175,2016,MERCEDES-BENZ,B-CLASS,BEV,Eligible,2016 MERCEDES-BENZ B-CLASS,2411700,154490,0,0,0,0,87
yakima,46.59817,-120.60199,2016,MERCEDES-BENZ,GLE-CLASS,PHEV,Not eligible,2016 MERCEDES-BENZ GLE-CLASS,264650,76662,0,0,0,0,10
king,47.67596,-122.35436,2016,MERCEDES-BENZ,S-CLASS,PHEV,Not eligible,2016 MERCEDES-BENZ S-CLASS,2411700,154490,0,0,0,0,14
kitsap,47.73689,-122.64681,2016,MERCEDES-BENZ,C-CLASS,PHEV,Not eligible,2016 MERCEDES-BENZ C-CLASS,288900,114590,0,0,0,0,11
stevens,48.54657,-117.90454,2020,MERCEDES-BENZ,GLC-CLASS,PHEV,Not eligible,2020 MERCEDES-BENZ GLC-CLASS,47800,81867,0,0,0,0,22
spokane,47.59431,-117.46996,2024,MINI,HARDTOP,BEV,Unknown,2024 MINI HARDTOP,566000,94226,0,0,0,0,0
grays harbor,47.01156,-124.16408,2023,MINI,COUNTRYMAN,PHEV,Not eligible,2023 MINI COUNTRYMAN,77750,79893,0,0,0,0,17
king,47.65908,-122.40092,2023,MINI,HARDTOP,BEV,Unknown,2023 MINI HARDTOP,2411700,154490,0,0,0,0,0
king,47.63824,-122.35022,2025,MINI,COUNTRYMAN,BEV,Unknown,2025 MINI COUNTRYMAN,2411700,154490,0,0,0,0,0
jefferson,48.1212,-122.77263,2021,MINI,HARDTOP,BEV,Eligible,2021 MINI HARDTOP,33825,98262,0,0,0,0,110
spokane,47.63396,-117.36043,2022,MINI,HARDTOP,BEV,Unknown,2022 MINI HARDTOP,566000,94226,0,0,0,0,0
king,47.64085,-122.30207,2022,MINI,COUNTRYMAN,PHEV,Not eligible,2022 MINI COUNTRYMAN,2411700,154490,0,0,0,0,17
clark,45.69345,-122.55149,2021,MINI,COUNTRYMAN,PHEV,Not eligible,2021 MINI COUNTRYMAN,542400,108973,0,0,0,0,17
spokane,47.66829,-117.1015,2020,MINI,HARDTOP,BEV,Unknown,2020 MINI HARDTOP,566000,94226,0,0,0,0,0
king,47.67597,-122.38591,2020,MINI,COUNTRYMAN,PHEV,Not eligible,2020 MINI COUNTRYMAN,2411700,154490,0,0,0,0,17
king,47.43876,-122.197,2023,MITSUBISHI,OUTLANDER,PHEV,Eligible,2023 MITSUBISHI OUTLANDER,2411700,154490,0,0,0,0,38
snohomish,47.83448,-122.21061,2025,MITSUBISHI,OUTLANDER,PHEV,Eligible,2025 MITSUBISHI OUTLANDER,873800,127475,0,0,0,0,38
king,47.43473,-122.29179,2024,MITSUBISHI,OUTLANDER,PHEV,Eligible,2024 MITSUBISHI OUTLANDER,2411700,154490,0,0,0,0,38
king,47.72656,-122.30253,2019,MITSUBISHI,OUTLANDER,PHEV,Not eligible,2019 MITSUBISHI OUTLANDER,2411700,154490,0,0,0,0,22
king,47.75448,-122.15545,2018,MITSUBISHI,OUTLANDER,PHEV,Not eligible,2018 MITSUBISHI OUTLANDER,2411700,154490,0,0,0,0,22
snohomish,48.06114,-122.1769,2016,MITSUBISHI,I-MIEV,BEV,Eligible,2016 MITSUBISHI I-MIEV,873800,127475,0,0,0,0,62
clark,45.64251,-122.57722,2017,MITSUBISHI,I-MIEV,BEV,Eligible,2017 MITSUBISHI I-MIEV,542400,108973,0,0,0,0,59
clark,45.58694,-122.40199,2014,MITSUBISHI,I-MIEV,BEV,Eligible,2014 MITSUBISHI I-MIEV,542400,108973,0,0,0,0,62
island,48.29077,-122.64682,2012,MITSUBISHI,I-MIEV,BEV,Eligible,2012 MITSUBISHI I-MIEV,88700,105012,0,0,0,0,62
clark,45.58694,-122.40199,2022,MITSUBISHI,OUTLANDER,PHEV,Not eligible,2022 MITSUBISHI OUTLANDER,542400,108973,0,0,0,0,24
