County,Latitude,Longitude,Year,Make,Model,Vehicle Type,CAFV Eligibility,Year_Make_Model,POP_2025,Median Income,MSRP,Dest. Charge,Tax Credit,Effective Price,Electric Range,Source
snohomish,47.89908,-122.29196,2021,BENTLEY,BENTAYGA,PHEV,Not eligible,2021 BENTLEY BENTAYGA,873800,127475,180500,0,0,0,17,InsideEVs
benton,46.27391,-119.27372,2023,BENTLEY,BENTAYGA,PHEV,Not eligible,2023 BENTLEY BENTAYGA,219625,103290,197300,0,0,0,23,Edmunds
king,47.72201,-122.22901,2024,BMW,IX,BEV,Unknown,2024 BMW IX,2411700,154490,87100,0,0,0,307,kbb.com
king,47.54748,-122.00292,2024,BMW,X5,PHEV,Eligible,2024 BMW X5,2411700,154490,72500,0,0,0,39,BMW of Dallas
king,47.49461,-122.23825,2024,BMW,I4,BEV,Unknown,2024 BMW I4,2411700,154490,53195,0,0,0,276,kbb.com
king,47.64441,-122.1621,2024,BMW,I5,BEV,Unknown,2024 BMW I5,2411700,154490,66800,0,0,0,295,EV.com
king,47.72656,-122.30253,2024,BMW,330E,PHEV,Not eligible,2024 BMW 330E,2411700,154490,45600,0,0,0,22,Edmunds
king,47.67858,-122.13158,2024,BMW,I7,BEV,Unknown,2024 BMW I7,2411700,154490,105700,0,0,0,321,Edmunds
king,47.50314,-122.3317,2024,BMW,XM,PHEV,Eligible,2024 BMW XM,2411700,154490,159000,0,0,0,31,BMW of Las Vegas
pierce,47.328,-122.58009,2024,BMW,750E,PHEV,Eligible,2024 BMW 750E,959900,111126,107000,0,0,0,36,MotorDonkey
king,47.61334,-122.12056,2023,BMW,530E,PHEV,Not eligible,2023 BMW 530E,2411700,154490,57600,0,0,0,21,TopElectricSUV
king,47.55584,-122.12096,2023,BMW,330E,PHEV,Not eligible,2023 BMW 330E,2411700,154490,44900,0,0,0,20,Edmunds
king,47.57894,-122.41067,2023,BMW,I4,BEV,Unknown,2023 BMW I4,2411700,154490,52000,0,0,0,256,InsideEVs
king,47.57894,-122.41067,2023,BMW,IX,BEV,Unknown,2023 BMW IX,2411700,154490,84100,0,0,0,324,kbb.com
king,47.67596,-122.35436,2023,BMW,X5,PHEV,Eligible,2023 BMW X5,2411700,154490,65700,0,0,0,30,autoevolution
king,47.61001,-122.1872,2023,BMW,I7,BEV,Unknown,2023 BMW I7,2411700,154490,120295,0,0,0,318,InsideEVs
kitsap,47.50524,-122.68471,2025,BMW,X5,PHEV,Eligible,2025 BMW X5,288900,114590,73800,0,0,0,40,Edmunds
king,47.61001,-122.1872,2025,BMW,I4,BEV,Unknown,2025 BMW I4,2411700,154490,53975,0,0,0,266,MotorDonkey
king,47.57816,-122.21238,2025,BMW,IX,BEV,Unknown,2025 BMW IX,2411700,154490,87250,0,0,0,303,BMW USA
king,47.55115,-122.2668,2025,BMW,I5,BEV,Unknown,2025 BMW I5,2411700,154490,67100,0,0,0,295,InsideEVs
king,47.67858,-122.13158,2025,BMW,M5,PHEV,Not eligible,2025 BMW M5,2411700,154490,120000,0,0,0,25,Motor1.com
king,47.40173,-122.3219,2025,BMW,XM,PHEV,Eligible,2025 BMW XM,2411700,154490,160500,0,0,0,31,Edmunds
king,47.63824,-122.35022,2025,BMW,550E,PHEV,Eligible,2025 BMW 550E,2411700,154490,73400,0,0,0,34,Edmunds
pierce,47.19175,-122.17144,2025,BMW,I7,BEV,Unknown,2025 BMW I7,959900,111126,105700,0,0,0,314,kbb.com
thurston,47.03954,-122.89165,2026,BMW,X5,PHEV,Eligible,2026 BMW X5,309100,111908,75200,0,0,0,38,Niello BMW
king,47.67858,-122.13158,2026,BMW,IX,BEV,Unknown,2026 BMW IX,2411700,154490,76325,0,0,0,279,greencars.com
king,47.70044,-122.38418,2026,BMW,I5,BEV,Unknown,2026 BMW I5,2411700,154490,67100,0,0,0,295,kbb.com
king,47.63824,-122.35022,2026,BMW,M5,PHEV,Not eligible,2026 BMW M5,2411700,154490,121900,0,0,0,25,BMW of Freehold
king,47.67887,-122.2066,2026,BMW,550E,PHEV,Eligible,2026 BMW 550E,2411700,154490,74800,0,0,0,33,Driver's Village
king,47.44929,-122.4573,2017,BMW,I3,PHEV,Eligible,2017 BMW I3,2411700,154490,42400,0,0,0,114,InsideEVs
clark,45.62158,-122.59219,2017,BMW,X5,PHEV,Not eligible,2017 BMW X5,542400,108973,63200,0,0,0,14,Creators Syndicate
king,47.44929,-122.4573,2018,BMW,I3,PHEV,Eligible,2018 BMW I3,2411700,154490,44450,0,0,0,97,Edmunds
spokane,47.65878,-117.21264,2018,BMW,X5,PHEV,Not eligible,2018 BMW X5,566000,94226,63750,0,0,0,13,Edmunds
king,47.61085,-122.34223,2017,BMW,I8,PHEV,Not eligible,2017 BMW I8,2411700,154490,143400,0,0,0,14,ENERGY STAR
king,47.68156,-122.31676,2019,BMW,I3,PHEV,Eligible,2019 BMW I3,2411700,154490,44450,0,0,0,114,InsideEVs
king,47.5301,-122.03439,2019,BMW,I8,PHEV,Not eligible,2019 BMW I8,2411700,154490,147500,0,0,0,17,kbb.com
pierce,47.23451,-122.53166,2020,BMW,530E,PHEV,Not eligible,2020 BMW 530E,959900,111126,53900,0,0,0,20,BMW Group PressClub
