Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
"2021 Tesla Model Y Long Range AWD 19""","$53,990 ","$1,200 ",,"$55,190 ",326.0
"2021 Tesla Model 3 Perf. LR AWD 20""","$56,990 ","$1,200 ",,"$58,190 ",315.0
2021 Ford Mustang Mach-E GT Perf. ER AWD,"$64,900 ","$1,100 ","$7,500 ","$58,500 ",260.0
"2022 Rivian R1T (Large pack, 21"")","$67,500*",,"$7,500 ","$60,000 ",314.0
"2022 Rivian R1S (Large pack, 21"")","$70,000*",,"$7,500 ","$62,500 ",316.0
2021 Audi e-tron Sportback,"$69,100 ","$1,095 ","$7,500 ","$62,695 ",218.0
2022 Jaguar I-PACE EV400,"$69,900 ","$1,150 ","$7,500 ","$63,550 ",234.0
"2022 Rivian R1T (Max pack, 21"")","$77,500*",,"$7,500 ","$70,000 ",400.0
2021 Porsche Taycan (79 kWh),"$79,900 ","$1,350 ","$7,500 ","$73,750 ",200.0
"2022 Audi e-tron S 20""","$84,800 ","$1,095 ","$7,500 ","$78,395 ",208.0
2021 Porsche Taycan (93 kWh),"$85,680 ","$1,350 ","$7,500 ","$79,530 ",225.0
"2022 Audi e-tron S Sportback 20""","$87,400 ","$1,095 ","$7,500 ","$80,995 ",212.0
2021 Porsche Taycan 4 Cross Turismo,"$90,900 ","$1,350 ","$7,500 ","$84,750 ",215.0
"2021 Tesla Model S Long Range (AWD) 19""","$89,990 ","$1,200 ",,"$91,190 ",405.0
2022 Audi e-tron GT quattro,"$99,900 ","$1,045 ","$7,500 ","$93,445 ",238.0
"2021 Tesla Model X Long Range (AWD) 20""","$99,990 ","$1,200 ",,"$101,190 ",360.0
2021 Porsche Taycan 4S Cross Turismo,"$110,300 ","$1,350 ","$7,500 ","$104,150 ",215.0
"2021 Tesla Model X Plaid 20""","$119,990 ","$1,200 ",,"$121,190 ",340.0
"2021 Tesla Model S Plaid 19""","$129,990 ","$1,200 ",,"$131,190 ",396.0
"2022 Lucid Air Grand Touring (21"")","$139,000 ","$1,500 ","$7,500 ","$133,000 ",469.0
"2022 Lucid Air Grand Touring (19"")","$139,000 ","$1,500 ","$7,500 ","$133,000 ",516.0
2022 Audi RS e-tron GT quattro,"$139,900 ","$1,045 ","$7,500 ","$133,445 ",232.0
"2021 Tesla Model S Plaid 21""","$134,490 ","$1,200 ",,"$135,690 ",348.0
2021 Porsche Taycan Turbo Cross Turismo,"$153,500 ","$1,350 ","$7,500 ","$147,350 ",204.0
"2022 Lucid Air Dream Edition Performance (21"")","$169,000 ","$1,500 ","$7,500 ","$163,000 ",451.0
"2022 Lucid Air Dream Edition Performance (19"")","$169,000 ","$1,500 ","$7,500 ","$163,000 ",471.0
"2022 Lucid Air Dream Edition Range (21"")","$169,000 ","$1,500 ","$7,500 ","$163,000 ",481.0
"2022 Lucid Air Dream Edition Range (19"")","$169,000 ","$1,500 ","$7,500 ","$163,000 ",520.0
2021 Porsche Taycan Turbo S Cross Turismo,"$187,600 ","$1,350 ","$7,500 ","$181,450 ",202.0
2023 Fisker Ocean Sport FWD (estimated shipping fee),"$24,999 ","$3,125 ",$0 ,"$28,124 ",231.0
2025 Nissan Leaf S,"$28,140 ","$1,140 ",$0 ,"$29,280 ",149.0
2024 Volkswagen ID.4 Standard,"$39,735 ","$1,425 ","$7,500 ","$33,660 ",206.0
2024 Fiat 500e RED,"$32,500 ","$1,595 ",$0 ,"$34,095 ",149.0
2025 Hyundai Kona Electric SE,"$32,875 ","$1,395 ",$0 ,"$34,270 ",200.0
2024 Tesla Model 3 Long Range RWD,"$42,490 ","$1,390 ","$7,500 ","$36,380 ",363.0
2024 Chevrolet Equinox EV 2LT FWD,"$43,295 ","$1,395 ","$7,500 ","$37,190 ",319.0
2025 Nissan Leaf SV Plus,"$36,190 ","$1,140 ",$0 ,"$37,330 ",212.0
2023 Fisker Ocean Ultra AWD (estimated shipping fee),"$34,999 ","$3,125 ",$0 ,"$38,124 ",350.0
2025 Hyundai Kona Electric SEL,"$36,875 ","$1,395 ",$0 ,"$38,270 ",261.0
2024 Hyundai Ioniq 6 SE Standard Range RWD,"$37,500 ","$1,150 ",$0 ,"$38,650 ",240.0
2024 Chevrolet Equinox EV 2RS FWD,"$44,795 ","$1,395 ","$7,500 ","$38,690 ",319.0
2024 Volkswagen ID.4 S,"$44,855 ","$1,425 ","$7,500 ","$38,780 ",206.0
2024 Volkswagen ID.4 Pro,"$44,875 ","$1,425 ","$7,500 ","$38,800 ",291.0
2024 Tesla Model Y Long Range RWD,"$44,990 ","$1,390 ","$7,500 ","$38,880 ",320.0
2024 Chevrolet Equinox EV 3LT FWD,"$45,295 ","$1,395 ","$7,500 ","$39,190 ",319.0
2025 Hyundai Kona Electric N-Line,"$38,275 ","$1,395 ",$0 ,"$39,670 ",230.0
2024 Tesla Model 3 RWD,"$38,990 ","$1,390 ",$0 ,"$40,380 ",272.0
2024 Chevrolet Equinox EV 2LT AWD,"$46,595 ","$1,395 ","$7,500 ","$40,490 ",285.0
2023 Fisker Ocean Extreme AWD (estimated shipping fee),"$37,499 ","$3,125 ",$0 ,"$40,624 ",360.0
2024 Chevrolet Equinox EV 3RS FWD,"$46,795 ","$1,395 ","$7,500 ","$40,690 ",319.0
2024 Nissan Ariya Engage FWD,"$39,590 ","$1,140 ",$0 ,"$40,730 ",216.0
2024 Kia Niro EV Wind,"$39,600 ","$1,375 ",$0 ,"$40,975 ",253.0
2024 Honda Prologue EX RWD,"$47,400 ","$1,395 ","$7,500 ","$41,295 ",296.0
2024 Tesla Model 3 Long Range AWD,"$47,490 ","$1,390 ","$7,500 ","$41,380 ",341.0
2025 Chevrolet Blazer EV LT AWD,"$47,600 ","$1,395 ","$7,500 ","$41,495 ",283.0
2024 Tesla Model Y Long Range AWD,"$47,990 ","$1,390 ","$7,500 ","$41,880 ",308.0
2024 Ford Mustang Mach-E Select RWD 72 kWh,"$39,995 ","$1,995 ",$0 ,"$41,990 ",250.0
